barcode,sku,reason,start_date,end_date,campaign_status,discounted_price,max_no_of_orders,price,active
00000000176989,176989,,,,,,,5.25,0
02001000766444,2001000766444,,,,,,,4.99,0
02001000962341,2001000962341,,,,,,,9.25,0
02001000977925,2001000977925,,,,,,,29.49,0
02010000001202,2010000001202,,,,,,,5.75,0
00201307152002,201307152002,,,,,,,2.49,0
03061375781038,3061375781038,,,,,,,26.49,0
03587925360077,3587925360077,,,,,,,18.49,0
04800361419642,4800361419642,,,,,,,6.99,0
04801958390108,4801958390108,,,,,,,3.49,0
04806011812054,4806011812054,,,,,,,4.25,0
04809011666580,4809011666580,,,,,,,5.75,0
00000050158188,50158188,,,,,,,19.49,0
05449000258434,5449000258434,,,,,,,11.75,0
06111070000198,6111070000198,,,,,,,4.75,0
06281006408708,6281006408708,,,,,,,8.75,0
06281007027380,6281007027380,,,,,,,16.25,0
06281007029612,6281007029612,,,,,,,8.99,0
06281007032254,6281007032254,,,,,,,2.75,0
06281007032261,6281007032261,,,,,,,5.75,0
06281007032834,6281007032834,,,,,,,2.49,0
06281007036849,6281007036849,,,,,,,8.75,0
06281007040365,6281007040365,,,,,,,4.25,0
06281007040419,6281007040419,,,,,,,7.99,0
06281007110808,6281007110808,,,,,,,7.99,0
06281007120401,6281007120401,,,,,,,14.25,0
06281033409013,6281033409013,,,,,,,2.49,0
06281100081036,6281100081036,,,,,,,6.49,0
06281100082026,6281100082026,,,,,,,5.25,0
06281183000108,6281183000108,,,,,,,2.75,0
06290410042149,6290410042149,,,,,,,9.99,0
06291001002146,6291001002146,,,,,,,7.99,0
06291006000284,6291006000284,,,,,,,14.99,0
06291011067616,6291011067616,,,,,,,12.25,1
06291016011225,6291016011225,,,,,,,20.75,0
06291016127049,6291016127049,,,,,,,16.75,0
06291030200032,6291030200032,,,,,,,7.99,0
06291030500064,6291030500064,,,,,,,2.49,0
06291030930045,6291030930045,,,,,,,2.99,0
06291031000495,6291031000495,,,,,,,4.25,0
06291031000594,6291031000594,,,,,,,3.75,0
06291031020103,6291031020103,,,,,,,6.75,0
06291044100175,6291044100175,,,,,,,2.25,0
06291044100199,6291044100199,,,,,,,3.49,0
06291044110228,6291044110228,,,,,,,4.25,0
06291044111171,6291044111171,,,,,,,13.25,0
06291044112314,6291044112314,,,,,,,11.49,0
06291056004034,6291056004034,,,,,,,24.49,0
06291056030514,6291056030514,,,,,,,4.75,0
06291056041527,6291056041527,,,,,,,2.75,0
06291056043019,6291056043019,,,,,,,2.75,0
06291056102013,6291056102013,,,,,,,2.49,0
06291056400591,6291056400591,,,,,,,28.75,0
06291100800018,6291100800018,,,,,,,3.49,1
06291100800094,6291100800094,,,,,,,2.25,0
06291101132354,6291101132354,,,,,,,13.75,0
06291104150089,6291104150089,,,,,,,32.25,0
06291104181885,6291104181885,,,,,,,5.75,0
06291104183568,6291104183568,,,,,,,6.99,0
