Party,Item Code,Location,Unit,Price
DT0072,100000001,,PCS,5.75
DT0072,100000007,,OUT,18.25
DT0072,100000007,,PCS,3.49
DT0072,100000011,,PCS,4.75
DT0072,100000011,,OUT,20.75
DT0072,100000012,,PCS,4.75
DT0072,100000013,,PCS,4.75
DT0072,100000014,,OUT,20.75
DT0072,100000014,,PCS,4.75
DT0072,100000016,,OUT,20.75
DT0072,100000017,,PCS,7.49
DT0072,100000018,,PCS,9.25
DT0072,100000018,,OUT,16.25
DT0072,100000020,,PCS,11.49
DT0072,100000021,,PCS,18.99
DT0072,100000022,,PCS,12.25
DT0072,100000023,,PCS,20.75
DT0072,100000024,,PCS,13.99
DT0072,100000029,,PCS,6.49
DT0072,100000030,,PCS,9.25
DT0072,100000031,,PCS,8.25
DT0072,100000032,,PCS,34.49
DT0072,100000033,,PCS,11.49
DT0072,100000034,,PCS,17.25
DT0072,100000035,,PCS,16.25
DT0072,100000036,,PCS,20.75
DT0072,100000037,,PCS,20.75
DT0072,100000038,,PS1,24.25
DT0072,100000038,,PCS,39.25
DT0072,100000039,,PCS,18.49
DT0072,100000040,,PCS,131.25
DT0072,100000041,,PCS,12.25
DT0072,100000042,,PCS,79.49
DT0072,100000044,,PCS,16.25
DT0072,100000049,,PCS,57.49
DT0072,100000050,,PCS,30.99
DT0072,100000051,,PCS,4.75
DT0072,100000052,,PCS,6.99
DT0072,100000053,,PCS,21.99
DT0072,100000054,,PCS,4.75
DT0072,100000055,,PCS,11.49
DT0072,100000056,,PCS,2.99
DT0072,100000056,,OUT,14.99
DT0072,100000059,,PCS,9.25
DT0072,100000061,,PCS,12.75
DT0072,100000062,,PCS,17.99
DT0072,100000066,,PCS,68.99
DT0072,100000077,,PCS,0.75
DT0072,100000078,,PCS,0.75
DT0072,100000079,,PCS,1.25
DT0072,100000080,,PCS,1.25
DT0072,100000081,,PCS,1.25
DT0072,100000082,,PCS,3.49
DT0072,100000082,,OUT,11.49
DT0072,100000083,,PCS,2.99
DT0072,100000083,,OUT,12.75
DT0072,100000084,,PCS,3.49
DT0072,100000084,,OUT,11.49
DT0072,100000090,,PCS,29.75
DT0072,100000091,,PCS,57.49
DT0072,100000093,,PCS,3.25
DT0072,100000094,,PCS,1.49
DT0072,100000096,,PCS,17.25
DT0072,100000099,,PCS,4.25
DT0072,100000099,,OUT,20.25
DT0072,100000100,,PCS,4.25
DT0072,100000100,,OUT,20.25
DT0072,100000102,,OUT,8.75
DT0072,100000103,,OUT,8.75
DT0072,100000104,,OUT,9.25
DT0072,100000105,,OUT,8.75
DT0072,100000106,,OUT,8.75
DT0072,100000107,,PCS,3.25
DT0072,100000108,,PCS,4.25
DT0072,100000112,,PCS,1.49
DT0072,100000112,,OUT,11.49
DT0072,100000113,,PCS,1.75
DT0072,100000113,,OUT,11.49
DT0072,100000119,,OUT,14.99
DT0072,100000120,,OUT,11.49
DT0072,100000121,,OUT,11.49
DT0072,100000122,,OUT,7.99
DT0072,100000122,,BNDL,26.49
DT0072,100000123,,OUT,13.99
DT0072,100000124,,OUT,8.25
DT0072,100000125,,OUT,8.25
DT0072,100000162,,PCS,14.25
DT0072,100000163,,PCS,50.75
DT0072,100000165,,PCS,45.99
DT0072,100000166,,PCS,61.25
DT0072,100000173,,PCS,45.75
DT0072,100000180,,PCS,48.99
DT0072,100000201,,PCS,32.25
DT0072,100000219,,PCS,15.75
DT0072,100000220,,PCS,22.99
DT0072,100000221,,PCS,26.49
DT0072,100000222,,OUT,29.99
DT0072,100000222,,PCS,9.25
DT0072,100000223,,PCS,28.75
DT0072,100000224,,PCS,13.75
DT0072,100000226,,PCS,5.75
DT0072,100000227,,PCS,32.25
DT0072,100000228,,PCS,50.75
DT0072,100000229,,P1,41.49
DT0072,100000229,,PCS,41.49
DT0072,100000230,,PCS,19.75
DT0072,100000232,,PCS,103.49
DT0072,100000233,,PCS,4.25
DT0072,100000234,,PCS,8.75
DT0072,100000235,,PCS,13.99
DT0072,100000247,,PCS,4.75
DT0072,100000250,,PCS,8.75
DT0072,100000255,,PCS,21.49
DT0072,100000256,,PCS,8.75
DT0072,100000257,,PCS,7.25
DT0072,100000258,,PCS,4.25
DT0072,100000264,,PCS,14.99
DT0072,100000265,,PCS,27.75
DT0072,100000267,,PCS,14.99
DT0072,100000269,,PCS,11.49
DT0072,100000270,,PCS,6.99
DT0072,100000272,,PCS,18.49
DT0072,100000273,,PCS,51.75
DT0072,100000278,,PCS,4.25
DT0072,100000278,,PKT,20.25
DT0072,100000279,,PCS,4.25
DT0072,100000279,,PKT,20.75
DT0072,100000280,,PKT,19.75
DT0072,100000280,,PCS,3.49
DT0072,100000281,,PCS,3.49
DT0072,100000282,,PCS,2.99
DT0072,100000282,,OUT,14.99
DT0072,100000283,,PCS,2.99
DT0072,100000283,,OUT,14.99
DT0072,100000287,,PCS,14.49
DT0072,100000288,,PCS,8.25
DT0072,100000290,,PCS,5.25
DT0072,100000292,,PCS,27.75
DT0072,100000294,,PCS,10.99
DT0072,100000295,,PCS,17.25
DT0072,100000296,,PCS,2.49
DT0072,100000297,,PCS,9.99
DT0072,100000298,,PCS,28.75
DT0072,100000299,,PCS,5.75
DT0072,100000300,,PCS,9.25
DT0072,100000302,,PCS,18.49
DT0072,100000303,,PCS,4.75
DT0072,100000304,,PCS,11.49
DT0072,100000305,,PCS,40.25
DT0072,100000306,,PCS,19.75
DT0072,100000309,,PCS,14.99
DT0072,100000310,,PCS,13.99
DT0072,100000311,,PCS,4.25
DT0072,100000313,,PCS,4.25
DT0072,100000313,,OUT,14.49
DT0072,100000314,,PCS,113.99
DT0072,100000317,,PKT,22.99
DT0072,100000317,,PCS,4.75
DT0072,100000319,,PCS,17.25
DT0072,100000324,,PKT,26.49
DT0072,100000324,,PCS,6.49
DT0072,100000326,,PCS,2.49
