sku,selling_price,stock_status,availability_status
10000181710,14.75,0,0
100118602,9.95,0,0
100124319,1.5,1,1
100164046,7.95,1,1
100178210,14.5,0,0
2001000835485,4.5,0,0
2010000000427,4.25,0,0
2010000001202,5.5,1,1
3013828101528,6.95,0,0
3046920028004,26.99,0,0
3061370834012,47.5,0,0
3179730011857,4.5,0,0
3574661177151,16.99,0,0
4809012960311,6.99,0,0
5023659920203,4.95,1,1
5033712162716,14.5,0,0
5060068550072,14.0,0,0
5285000390602,7.5,0,0
5449000064363,8.5,1,1
623695000553,6.95,1,1
6281001816461,16.5,0,0
6281006408685,7.99,0,0
6281006438668,17.95,0,0
6281007032254,2.25,1,1
6281007034791,3.25,1,1
6281007040266,31.99,0,0
6281007045780,5.99,1,1
6281007046060,7.5,0,0
6281007056205,6.0,0,0
6281007063494,3.5,0,0
6281007064163,2.25,0,0
6281007067577,1.25,0,0
6281007070768,11.5,1,1
6281100089056,2.25,1,1
6281100361473,2.5,1,1
6281123034996,2.25,0,0
6281183000061,9.95,1,1
6291003020469,1.5,1,1
6291003304293,13.95,1,1
6291003606540,8.0,0,0
6291007901016,1.5,1,1
6291007913460,9.95,1,1
6291010914072,10.5,0,0
6291030004029,7.95,0,0
6291030004425,9.95,1,1
6291030109502,4.99,1,1
6291030201046,3.5,1,1
6291030503034,2.0,1,1
6291031000761,1.75,0,0
6291031002086,2.0,1,1
6291031010067,4.5,1,1
6291031032229,9.5,0,0
6291044000512,4.5,0,0
6291044110396,2.5,0,0
6291044111553,3.5,1,1
6291056011544,2.25,1,1
6291056041527,2.25,0,0
6291056043040,2.25,0,0
6291056055678,3.75,1,1
6291056101603,4.5,1,1
6291056400096,5.99,1,1
6291056400577,22.99,0,0
6291062100119,2.75,0,0
6291062100522,2.25,1,1
6291062101017,2.0,0,0
6291062114017,13.5,0,0
6291079359470,1.5,1,1
6291100800018,3.0,0,0
6291100850129,12.0,0,0
6291104140011,1.5,0,0
6291104190887,5.5,0,0
6291104986695,8.5,1,1
6291104987746,5.5,0,0
6291105207072,5.5,0,0
6291106450033,3.99,0,0
6291107222301,37.99,0,0
6291107830995,8.95,0,0
6291107838564,4.99,0,0
6297000404455,5.99,0,0
6297000404554,6.95,0,0
6297000611471,3.99,1,1
6297001135105,2.95,0,0
6297001135143,2.25,0,0
6297001135341,1.5,1,1
6297001135365,2.99,1,1
6299703678010,6.95,0,0
645469061089,6.5,0,0
645469061287,9.5,0,0
6805699956997,39.99,0,0
7100200789105,13.99,1,1
7613031341726,26.95,0,0
783963002228,8.99,0,0
8000500041338,58.0,0,0
8712561548953,3.5,0,0
8901052009633,19.95,0,0
8901095029025,19.95,0,0
8901248306171,12.5,0,0
8901427000159,4.75,0,0
8901440000303,9.99,0,0
8901440031390,8.99,0,0
8901719991066,5.5,0,0
8902850036661,5.95,1,1
8904001800282,6.99,1,1
8906020580510,5.95,1,1
8997035600300,6.99,1,1
8997035600485,26.95,1,1
9002490100193,57.95,0,0
9310140010151,9.99,0,0
971676781886,4.5,1,1
9900126250,1.24,1,1
9900127100,1.2,1,1
9900127250,2.99,1,1
9900131500,2.48,1,1
9900181500,6.48,1,1
9900211500,2.48,1,1
9900218500,3.98,1,1
9900227500,8.48,1,1
9900228500,4.48,0,0
9900244250,6.99,1,1
9900279,13.95,1,1
9900288250,3.75,0,0
9900310,27.95,1,1
9900321500,9.98,1,1
9900322500,7.48,0,0
9900328500,9.98,1,1
9900332500,18.98,1,1
9900336500,13.98,1,1
9900339,33.95,1,1
9900341500,9.98,1,1
9900342500,11.98,0,0
9900350500,8.98,1,1
9900353500,13.98,1,1
9900439500,14.98,1,1
9900804500,1.98,0,0
9900849500,5.0,1,1
9900917,29.95,1,1
9900954500,5.48,1,1
9902038500,11.48,1,1
9902228500,21.5,0,0
