sku,selling_price,stock_status,availability_status
100000395,1.5,0,0
1000056343,15.95,0,0
103080039820,19.5,1,1
103080206116,14.0,1,1
12000002090,1.5,0,0
1251021237244,25.0,0,0
2001000979240,18.95,0,0
2001000993659,9.95,0,0
2001001599829,4.5,0,0
2010000000601,7.0,0,0
3179730013134,9.95,0,0
3516664460007,15.5,0,0
3574661177137,15.0,0,0
3610340653650,15.95,0,0
3700082500104,8.95,0,0
37398012087,6.0,0,0
4800194173681,2.0,0,0
48036214,4.95,0,0
4806512022518,8.5,0,0
4808680020877,8.95,0,0
5000309002601,8.5,0,0
50158980,3.5,0,0
5023659920203,5.95,0,0
5449000000965,13.5,0,0
5449000258434,10.0,0,0
614514950012,42.0,0,0
617950200901,8.5,0,0
6281001115007,4.75,0,0
6281001820031,11.95,0,0
6281006592773,24.95,0,0
6281007023122,1.75,1,1
6281007040419,6.95,1,1
6281007042857,3.0,0,0
6281007046053,1.5,1,1
6281007046466,1.75,1,1
6281007059824,5.25,0,0
6281036001139,10.0,1,1
6281036001337,10.0,1,1
6281036108401,8.5,1,1
6281036110602,0.5,1,1
6281036113207,1.25,0,0
6281073210266,8.0,0,0
6281100082026,4.5,0,0
6291002400019,9.95,1,1
6291003095511,2.25,0,0
6291003104329,14.95,0,0
6291003606540,8.5,0,0
6291010100956,17.95,0,0
6291010922435,12.0,0,0
629103000167,3.0,0,0
6291030001929,18.95,1,1
6291030004548,3.25,1,1
6291030106037,2.25,1,1
6291030109502,5.0,1,1
6291030109564,7.5,1,1
6291030109731,17.5,1,1
6291030109748,18.5,1,1
6291030400258,1.25,0,0
6291030400340,1.25,0,0
6291031000136,9.95,0,0
6291031000150,5.75,0,0
6291031004516,14.5,0,0
6291031020387,8.5,0,0
6291034005923,2.0,0,0
6291034177736,31.0,0,0
6291044110396,2.5,0,0
6291055013792,6.99,0,0
6291056030514,3.95,1,1
6291056041626,2.25,0,0
6291056043019,2.25,1,1
6291056043040,2.25,0,0
6291056070107,2.0,1,1
6291056180318,1.25,1,1
6291101130015,6.0,0,0
6291101711382,2.0,0,0
6291103575081,3.95,0,0
6291104150928,52.0,0,0
6291104181151,3.75,0,0
6291104183346,12.5,0,0
6291104183575,6.5,1,1
6291104881556,8.95,0,0
6291104987746,5.5,0,0
6291106450002,5.5,0,0
6291106450026,4.0,0,0
6291106450125,3.0,0,0
6291110002266,6.5,0,0
6294001510710,16.95,0,0
6294007504218,12.0,0,0
6294008698763,18.0,1,1
6295120003237,9.75,0,0
6297000069609,3.5,0,0
6297001135365,3.5,0,0
6297001135587,4.0,1,1
6297001135730,3.75,1,1
6297001135754,9.8,0,0
670087176624,13.5,0,0
6702215522608,1.25,0,0
6824637104337,7.95,0,0
6958239385129,5.0,0,0
6978523180490,7.0,0,0
70177086664,19.0,0,0
7534518010020,1.75,0,0
7534518010051,1.95,0,0
7534518010082,2.0,0,0
7534518010617,1.75,0,0
7622201128722,8.95,0,0
768430982531,3.75,0,0
785018012473,9.0,0,0
7893000089648,17.0,0,0
8001841591049,8.95,0,0
8006540314210,13.99,0,0
815096002834,9.95,0,0
8680002000349,2.95,0,0
8830485833310,5.5,0,0
8850124037350,1.5,0,0
8886001026032,37.0,0,0
8888202063168,8.99,0,0
8901042954554,7.95,0,0
8901440209362,7.95,0,0
8901444087225,3.5,0,0
8902850036623,5.95,0,0
8906097370038,33.0,0,0
8908003972312,1.5,0,0
8964000164211,12.5,0,0
9002490100490,39.5,0,0
9100300881703,18.5,0,0
9300701023270,7.95,0,0
9556437009747,1.75,0,0
9900003500,4.48,0,0
9900114,1.25,1,1
9900118250,3.24,1,1
9900123500,1.48,0,0
9900127100,1.3,1,1
9900127250,3.24,1,1
9900128,4.95,0,0
9900131500,2.98,1,1
9900133100,1.9,1,1
9900133250,4.74,1,1
9900135500,2.98,1,1
9900141500,3.75,1,1
9900152250,2.88,1,1
9900159250,3.74,1,1
9900162250,3.49,1,1
9900163500,6.48,0,0
9900181500,7.48,1,1
9900197500,8.48,1,1
9900232500,7.98,1,1
9900233500,5.48,1,1
9900236250,2.49,1,1
9900259,1.25,1,1
9900272,4.5,0,0
9900281250,1.38,1,1
9900288250,3.74,1,1
9900300500,5.48,0,0
9900305500,5.98,1,1
9900321500,9.98,0,0
9900322500,8.48,1,1
9900323500,4.48,0,0
9900329500,9.98,0,0
9900330500,4.98,0,0
9900333500,6.48,0,0
9900334500,9.98,0,0
9900339,34.95,0,0
9900350500,6.48,0,0
9900352500,17.48,1,1
9900357,9.95,1,1
9900360500,6.48,0,0
9900436,5.5,1,1
9900466,14.99,0,0
9900484500,7.98,0,0
9900545,14.0,0,0
9900735,15.95,0,0
9900804500,3.48,1,1
9900815500,4.48,1,1
9900858,6.5,0,0
9900892,7.95,0,0
9900968,5.0,0,0
9902028250,3.74,0,0
9902038500,11.48,1,1
9902228500,21.48,0,0
9902320500,9.48,0,0
