barcode,sku,reason,start_date,end_date,campaign_status,discounted_price,max_no_of_orders,price,active
00012000101564,12000101564,,,,,,,9.25,0
01358946340070,1358946340070,,,,,,,5.75,0
00014796302194,14796302194,,,,,,,7.99,1
02001001167868,2001001167868,,,,,,,11.49,1
00201307151005,201307151005,,,,,,,4.75,0
03014260228743,3014260228743,,,,,,,9.25,1
03061375781076,3061375781076,,,,,,,30.49,1
04005808282456,4005808282456,,,,,,,14.99,1
04005808919031,4005808919031,,,,,,,16.75,1
04005900371492,4005900371492,,,,,,,13.99,1
04800047820021,4800047820021,,,,,,,8.75,0
04800361328302,4800361328302,,,,,,,6.99,0
04902806000276,4902806000276,,,,,,,6.99,0
05000167019339,5000167019339,,,,,,,16.25,1
05000309002601,5000309002601,,,,,,,9.25,1
05000309002755,5000309002755,,,,,,,9.25,1
05011321361058,5011321361058,,,,,,,14.49,0
05011321656390,5011321656390,,,,,,,14.49,0
05023659920203,5023659920203,,,,,,,6.99,1
05410076651627,5410076651627,,,,,,,13.25,1
05449000056689,5449000056689,,,,,,,17.25,0
05449000320025,5449000320025,,,,,,,5.75,1
00000054492509,54492509,,,,,,,3.49,1
00617950600701,617950600701,,,,,,,3.49,1
06281001115007,6281001115007,,,,,,,5.75,0
06281001820031,6281001820031,,,,,,,11.49,1
06281001820048,6281001820048,,,,,,,12.75,0
06281006408760,6281006408760,,,,,,,15.75,0
06281006422148,6281006422148,,,,,,,12.75,0
06281006423404,6281006423404,,,,,,,17.25,1
06281006438583,6281006438583,,,,,,,18.99,0
06281006529830,6281006529830,,,,,,,19.75,1
06281006586918,6281006586918,,,,,,,21.99,0
06281007040235,6281007040235,,,,,,,8.25,0
06281007041980,6281007041980,,,,,,,3.75,0
06281007042765,6281007042765,,,,,,,22.99,0
06281031256589,6281031256589,,,,,,,6.99,0
06281036110107,6281036110107,,,,,,,0.75,0
00000062810487,62810487,,,,,,,4.49,0
06281073210143,6281073210143,,,,,,,15.75,0
06281100084044,6281100084044,,,,,,,2.75,0
06291003058110,6291003058110,,,,,,,13.75,0
06291003152696,6291003152696,,,,,,,16.25,1
06291010100956,6291010100956,,,,,,,21.49,1
06291010200014,6291010200014,,,,,,,12.75,1
06291010701375,6291010701375,,,,,,,1.75,1
06291010919336,6291010919336,,,,,,,5.75,1
06291016005361,6291016005361,,,,,,,2.25,1
06291016024317,6291016024317,,,,,,,16.25,1
06291030000342,6291030000342,,,,,,,6.75,0
06291030002117,6291030002117,,,,,,,4.49,1
06291030100073,6291030100073,,,,,,,2.49,0
06291031000174,6291031000174,,,,,,,2.75,1
06291034005336,6291034005336,,,,,,,6.99,1
06291044110228,6291044110228,,,,,,,4.25,0
06291044110402,6291044110402,,,,,,,5.75,0
06291044110419,6291044110419,,,,,,,8.75,0
06291056001002,6291056001002,,,,,,,14.49,0
06291056002603,6291056002603,,,,,,,4.25,0
06291056030514,6291056030514,,,,,,,4.75,0
06291056041725,6291056041725,,,,,,,2.75,0
06291056180387,6291056180387,,,,,,,4.75,0
06291069701685,6291069701685,,,,,,,10.49,0
06291069706437,6291069706437,,,,,,,12.75,1
06291069710380,6291069710380,,,,,,,11.49,1
06291100312092,6291100312092,,,,,,,5.75,1
06291100761142,6291100761142,,,,,,,10.49,0
06291100763771,6291100763771,,,,,,,10.49,1
06291100800056,6291100800056,,,,,,,1.49,0
06291100850075,6291100850075,,,,,,,4.75,1
06291101130831,6291101130831,,,,,,,11.49,1
06291105001366,6291105001366,,,,,,,4.75,0
06291105001830,6291105001830,,,,,,,4.75,0
06291105001861,6291105001861,,,,,,,5.75,0
06291105003353,6291105003353,,,,,,,4.75,0
06291105205214,6291105205214,,,,,,,5.75,0
06291105659666,6291105659666,,,,,,,12.75,1
06291106823196,6291106823196,,,,,,,18.49,1
06291107831916,6291107831916,,,,,,,6.99,0
06291107832265,6291107832265,,,,,,,4.99,0
06291107835815,6291107835815,,,,,,,3.99,1
06294000201053,6294000201053,,,,,,,41.49,0
06294001511236,6294001511236,,,,,,,3.75,0
06294017109526,6294017109526,,,,,,,58.75,0
06297000008073,6297000008073,,,,,,,25.99,1
06297000082714,6297000082714,,,,,,,10.49,0
06297000611044,6297000611044,,,,,,,6.99,0
06297000732060,6297000732060,,,,,,,11.49,1
06297000806235,6297000806235,,,,,,,11.75,1
06297001297032,6297001297032,,,,,,,3.99,1
06297001297049,6297001297049,,,,,,,3.99,1
06298044032789,6298044032789,,,,,,,32.25,1
00631583101015,631583101015,,,,,,,8.25,1
00663234010544,663234010544,,,,,,,9.99,1
00663234011152,663234011152,,,,,,,5.75,1
00663234012982,663234012982,,,,,,,5.25,1
00663234065759,663234065759,,,,,,,4.75,1
00663234065780,663234065780,,,,,,,4.75,1
00663234065797,663234065797,,,,,,,4.75,1
06805699954900,6805699954900,,,,,,,34.49,1
00728028217513,728028217513,,,,,,,26.49,0
00735745842461,735745842461,,,,,,,29.99,1
00746935622381,746935622381,,,,,,,24.25,1
00748485800011,748485800011,,,,,,,7.49,0
07702018531783,7702018531783,,,,,,,18.99,1
07702018844944,7702018844944,,,,,,,17.25,1
00785018012114,785018012114,,,,,,,8.75,1
07893000557949,7893000557949,,,,,,,13.75,1
07893000558328,7893000558328,,,,,,,17.25,1
08000500199541,8000500199541,,,,,,,16.25,0
08001090242129,8001090242129,,,,,,,6.99,1
08001841591049,8001841591049,,,,,,,9.25,0
08001841591070,8001841591070,,,,,,,9.25,1
08001841591193,8001841591193,,,,,,,9.25,1
08410031996852,8410031996852,,,,,,,10.99,0
00855434000023,855434000023,,,,,,,14.99,1
08716200674973,8716200674973,,,,,,,6.25,1
08850006304792,8850006304792,,,,,,,10.49,0
00887930952810,887930952810,,,,,,,6.99,1
08888202000675,8888202000675,,,,,,,10.49,1
08901030400001,8901030400001,,,,,,,13.99,1
08901088080293,8901088080293,,,,,,,14.99,0
08901088108188,8901088108188,,,,,,,10.49,1
08901088157162,8901088157162,,,,,,,10.49,1
08901138505844,8901138505844,,,,,,,16.25,0
08901440000303,8901440000303,,,,,,,11.49,0
08901440001102,8901440001102,,,,,,,24.25,1
08901440002147,8901440002147,,,,,,,6.99,1
08901440011309,8901440011309,,,,,,,7.49,1
08901440011378,8901440011378,,,,,,,13.75,1
08901440021094,8901440021094,,,,,,,10.49,1
08901440206866,8901440206866,,,,,,,8.25,1
08901440209416,8901440209416,,,,,,,9.99,1
08901440210306,8901440210306,,,,,,,8.75,1
08901444060167,8901444060167,,,,,,,8.75,1
08902042212705,8902042212705,,,,,,,9.25,1
08902197200787,8902197200787,,,,,,,21.99,1
08902850008545,8902850008545,,,,,,,6.99,0
08902850019497,8902850019497,,,,,,,13.75,1
08904018300362,8904018300362,,,,,,,16.25,0
08904018300591,8904018300591,,,,,,,5.75,0
08906010260118,8906010260118,,,,,,,14.99,1
08906014082372,8906014082372,,,,,,,9.25,0
08906029780218,8906029780218,,,,,,,13.25,1
08906044650084,8906044650084,,,,,,,35.75,0
08906097370038,8906097370038,,,,,,,37.99,1
08906125310555,8906125310555,,,,,,,14.99,1
08908001158343,8908001158343,,,,,,,12.75,1
08991389368909,8991389368909,,,,,,,2.49,1
08992222300353,8992222300353,,,,,,,10.49,1
08999999565084,8999999565084,,,,,,,10.49,0
09100300881734,9100300881734,,,,,,,13.25,0
09556191011185,9556191011185,,,,,,,4.75,0
,9900135500,,,,,,,3.49,1
,9900165250,,,,,,,2.75,1
,9900178500,,,,,,,2.49,1
,9900270,,,,,,,5.99,1
,9900305500,,,,,,,6.99,1
,9900307,,,,,,,11.75,1
,9900323500,,,,,,,4.75,0
,9900324500,,,,,,,9.99,0
,9900329500,,,,,,,11.25,1
,9900330500,,,,,,,5.25,0
,9900343,,,,,,,15.25,0
,9900344500,,,,,,,7.75,1
,9900345500,,,,,,,5.99,0
,9900347500,,,,,,,5.25,0
,9900348,,,,,,,16.49,1
,9900354500,,,,,,,11.25,1
,9900390500,,,,,,,5.25,1
,9900404,,,,,,,9.49,1
,9900439500,,,,,,,19.99,1
,9900484500,,,,,,,10.75,1
,9900494500,,,,,,,26.49,1
,9900606,,,,,,,5.49,1
,9900677500,,,,,,,2.99,0
,9900908,,,,,,,56.25,1
,9900917,,,,,,,44.49,1
