sku,selling_price,stock_status,availability_status
10008523612,14.95,1,1
10900100878,8.0,0,0
1110000110025,4.5,0,0
1110000140435,2.75,0,0
1110000615148,2.95,0,0
1640300021405,7.95,0,0
176989,4.5,0,0
2000002637578,6.95,0,0
2010000000427,4.0,1,1
3014260419707,17.5,0,0
3355991003408,46.99,0,0
4000401200111,1.75,1,1
4005808280797,18.5,1,1
4005900554406,10.95,0,0
40480224367,5.5,1,1
4800016138577,3.75,0,0
4800024558268,10.95,1,1
4800188108385,5.0,1,1
4800361050104,7.5,0,0
4807770275593,6.95,0,0
4809012960243,5.0,0,0
4901515330520,19.99,0,0
5000112654202,4.0,0,0
5022496103114,13.5,0,0
5055810004781,6.95,0,0
51500255377,12.45,0,0
5285000391043,14.95,1,1
5449000103062,14.0,1,1
5449000131812,14.0,1,1
5900020039316,9.95,0,0
6281006569515,22.0,1,1
6281006824058,14.95,0,0
6281007023276,1.25,0,0
6281007032520,3.5,1,1
6281007032759,4.95,0,0
6281007035446,23.0,0,0
6281007037150,8.95,0,0
6281007040365,3.5,1,1
6281007040419,6.95,1,1
6281007046053,1.5,1,1
6281007051347,48.0,0,0
6281007055802,17.5,0,0
6281007059824,5.25,0,0
6281007060356,2.5,1,1
6281017203316,18.99,0,0
6281020010215,4.95,1,1
6281020010710,5.5,1,1
6281020293236,7.5,1,1
6281022102086,3.5,0,0
6281034910044,19.5,1,1
6281034910488,12.5,0,0
6281036001993,2.5,0,0
6281036014054,3.0,0,0
6281052300001,23.5,1,1
6281065014346,16.5,1,1
6281073210181,26.0,1,1
628200000011,35.0,0,0
6290361530580,23.99,1,1
6290361530597,42.99,1,1
6290410042149,8.5,1,1
6290410140098,4.5,1,1
6291002120283,12.95,0,0
6291002400019,9.95,1,1
6291003003219,1.0,1,1
6291003007095,4.5,0,0
6291003017872,10.95,1,1
6291003085895,1.25,0,0
6291003304675,31.0,1,1
6291016005279,2.0,0,0
6291016005620,7.5,0,0
6291016005644,1.5,0,0
6291016007617,4.5,0,0
6291016011256,18.5,0,0
6291016014011,1.5,0,0
6291016111031,7.95,0,0
6291021920826,38.0,0,0
6291028100016,0.75,0,0
6291028960016,3.0,0,0
6291030002117,3.95,1,1
6291030002131,2.5,0,0
6291030003299,1.5,0,0
6291030003459,1.95,0,0
6291030003800,3.25,1,1
6291030109595,24.25,0,0
6291030201022,12.25,1,1
6291030203026,13.0,0,0
6291030401057,1.95,0,0
6291030502037,4.5,0,0
6291031000747,9.95,0,0
6291031002819,5.5,0,0
6291031004264,4.95,0,0
6291031004479,14.5,1,1
6291031010678,3.75,1,1
6291034000324,3.0,1,1
6291034147821,16.5,0,0
6291034177736,31.0,0,0
6291044110396,2.5,0,0
6291044111553,3.25,0,0
6291055080756,10.95,1,1
6291056000753,1.75,0,0
6291056041626,2.25,0,0
6291056041725,2.25,0,0
6291056052103,3.5,0,0
6291056400027,24.99,0,0
6291058139857,33.5,1,1
6291069210125,13.5,0,0
6291069706390,8.95,0,0
6291069706475,9.99,1,1
6291069736915,9.0,1,1
6291079363859,18.95,1,1
6291100850129,11.95,1,1
6291101711313,26.0,0,0
6291103575487,0.5,0,0
6291103750167,7.95,0,0
6291104181779,39.95,1,1
6291104183360,12.5,0,0
6291104192188,14.5,0,0
6291104193093,11.0,0,0
6291104986220,4.5,0,0
6291105204118,2.75,0,0
6291105205214,5.5,0,0
6291105659673,9.95,1,1
6291106110418,3.0,0,0
6291106450101,6.75,0,0
6291106450378,7.5,0,0
6291106450385,4.5,0,0
6291107830032,19.99,0,0
6292626193769,14.95,0,0
6294001510321,6.5,0,0
6297000611198,12.95,1,1
6297000747439,2.25,0,0
6297001135471,8.95,1,1
6297001135501,2.0,0,0
6297001135525,2.0,0,0
6297001135532,7.0,1,1
6514747002769,20.0,1,1
663234014078,5.0,0,0
663234069504,17.0,0,0
70942121613,11.99,0,0
7534518010051,1.95,0,0
7534518101506,1.75,0,0
7610400014632,21.5,0,0
7613034158901,4.75,0,0
776992031055,1.25,0,0
783583180665,35.0,0,0
785018087211,8.5,1,1
785571030402,12.95,0,0
7891024124826,11.95,0,0
8420701103176,12.95,0,0
8850006304792,7.95,0,0
8888167033992,7.5,0,0
8901030080326,29.0,0,0
8901042954714,7.5,0,0
8901088210560,8.5,0,0
8901440219323,9.5,0,0
8901444087225,3.99,0,0
8901499010728,18.95,0,0
8901747000686,11.5,0,0
8901826305008,19.95,1,1
8903856666814,23.75,1,1
8904063200419,5.5,0,0
8904063203113,4.0,0,0
8904265706702,10.0,0,0
8904265706719,6.5,0,0
8906007240062,21.95,1,1
8906014765992,19.0,0,0
8906078451091,2.5,0,0
8961103600721,19.99,0,0
8964002527816,10.95,0,0
9100300881703,19.95,1,1
9501033111097,14.95,1,1
9501033111141,3.99,1,1
9501100019028,12.5,0,0
9501100101105,12.95,1,1
9501100101303,23.5,1,1
9556023118013,1.0,0,0
9900118250,3.24,1,1
9900126250,1.49,1,1
9900127100,1.3,1,1
9900127250,3.24,1,1
9900128,4.95,1,1
9900133100,1.9,1,1
9900133250,4.74,1,1
9900135500,2.98,1,1
9900141500,3.75,1,1
9900152250,2.74,1,1
9900159250,3.74,1,1
9900162250,3.49,1,1
9900172250,3.24,1,1
9900181500,7.48,1,1
9900204500,8.48,0,0
9900227500,8.48,1,1
9900233500,5.48,1,1
9900244250,11.25,1,1
9900252,10.95,1,1
9900269,9.95,1,1
9900284,6.5,0,0
9900298250,2.49,1,1
9900305500,5.98,1,1
9900309500,9.98,1,1
9900318500,9.48,1,1
9900319500,19.98,0,0
9900328500,9.98,0,0
9900330500,4.98,1,1
9900331500,18.98,1,1
9900336500,12.98,0,0
9900340500,9.98,1,1
9900341500,13.48,0,0
9900343,15.95,1,1
9900349500,8.48,1,1
9900352500,17.48,1,1
9900354500,9.48,1,1
9900355500,8.98,1,1
9900391,35.0,0,0
9900404,8.95,0,0
9900413,26.95,1,1
9900469500,14.98,0,0
9900473,34.95,0,0
9900483500,12.98,0,0
9900804500,3.48,1,1
9900815500,4.48,1,1
9902001500,4.48,1,1
9902043500,1.25,1,1
9902331,16.95,1,1
