sku,selling_price,stock_status,availability_status
1000031506,8.5,0,0
1000425116,7.95,0,0
1000425126,6.99,0,0
100047036,2.5,1,1
10900100847,6.5,1,1
12000520334,5.0,0,0
12000811005,13.99,0,0
17273501295,15.0,0,0
17273504494,14.0,1,1
17273504586,17.5,1,1
2001001315696,7.5,1,1
2010000000427,4.25,1,1
2010000000465,2.5,0,0
2010000001165,5.99,1,1
3014260283254,9.5,0,0
3516664510009,8.5,1,1
3587925356940,6.99,0,0
36631083402,26.99,1,1
36631084591,9.99,1,1
36631085093,10.5,1,1
36631085130,9.99,1,1
4005808135059,9.99,0,0
4005808817009,16.5,0,0
4005808817207,14.99,1,1
4005808825233,20.99,1,1
4005900614339,8.99,1,1
4009900017848,71.0,1,1
4009900018029,65.0,1,1
40232825002,12.99,0,0
4051709,4.5,1,1
42113362,2.5,1,1
4292665950103,11.99,0,0
4800011166834,9.99,0,0
4800024562692,3.95,1,1
4800054113284,6.0,1,1
4800092110030,8.5,1,1
4800092110405,8.5,1,1
4800092110528,8.5,1,1
4800116014016,6.0,1,1
4800158988030,6.49,0,0
4800194106016,3.5,1,1
4800216110045,7.0,1,1
4800216110144,7.0,1,1
4800216128101,1.5,1,1
4800216128118,1.5,1,1
4800216128460,7.0,1,1
4800361061322,6.95,1,1
4800405123559,8.0,1,1
4800528456282,6.0,1,1
4800888600998,4.5,0,0
4804888555326,6.0,1,1
4804888555357,6.0,1,1
4807770190339,5.99,1,1
4808680230979,10.99,0,0
4809010118530,4.99,0,0
4809011681439,4.0,1,1
4809012959919,5.0,1,1
4902806012521,6.95,1,1
4902806013627,6.5,1,1
4902806013641,6.0,1,1
5000112537871,18.4,1,1
5000159527118,10.99,1,1
5000386147745,19.99,0,0
5014176003722,7.95,0,0
50173686,2.5,1,1
5033712462069,11.5,0,0
5053990107292,2.99,0,0
5060071227145,7.5,0,0
5413548003726,29.95,0,0
5413864007002,30.95,0,0
5449000000965,15.0,1,1
5449000012241,14.99,1,1
5449000034335,4.25,1,1
5449000094414,14.99,0,0
5900095021315,9.99,0,0
5900951028502,3.99,1,1
6001087364652,9.99,1,1
603981835014,2.25,0,0
614514060179,8.99,0,0
614514670439,34.99,1,1
6271002118510,1.99,1,1
6271002162063,8.99,1,1
6271002221111,1.5,1,1
6271002271765,6.5,1,1
6281006424609,9.99,0,0
6281006545724,14.95,1,1
6281006584204,2.99,0,0
6281006592063,13.95,0,0
6281007023122,1.95,0,0
6281007023221,2.0,0,0
6281007023498,3.0,0,0
6281007023887,1.5,1,1
6281007024020,7.5,1,1
6281007025799,22.0,1,1
6281007031240,7.25,1,1
6281007032254,2.25,0,0
6281007032544,3.5,1,1
6281007032773,13.5,1,1
6281007036092,3.5,1,1
6281007036849,7.5,1,1
6281007039826,3.25,1,1
6281007039994,3.5,0,0
6281007040235,6.99,1,1
6281007040365,3.5,1,1
6281007040419,6.99,1,1
6281007041584,3.5,1,1
6281007042413,11.95,0,0
6281007042840,2.25,0,0
6281007044110,2.25,0,0
6281007045698,42.0,1,1
6281007050159,3.0,1,1
6281007050166,3.75,0,0
6281007050173,3.75,1,1
6281007052955,17.99,1,1
6281007053549,2.25,0,0
6281007055802,12.0,0,0
6281007059848,1.0,0,0
6281007129251,21.5,1,1
6281007168205,6.95,1,1
6281033305513,9.99,0,0
6281036001993,2.99,0,0
6281036010162,3.25,0,0
6281036024053,0.75,0,0
6281036110107,0.5,0,0
6281036113009,1.25,0,0
6281036287205,6.99,0,0
6281036560209,1.5,0,0
6281041029012,14.5,1,1
6281100089056,2.25,0,0
6281100362104,9.99,0,0
6281105470972,1.99,1,1
6281123034200,1.5,1,1
6281183001211,1.0,0,0
628200000011,31.99,1,1
6291003058134,34.5,1,1
6291003095863,21.99,0,0
6291003153853,36.5,0,0
6291003163074,5.75,1,1
6291003163098,13.99,1,1
6291003163197,24.99,0,0
6291003191152,19.99,0,0
6291003669675,6.5,0,0
6291007901047,1.5,0,0
6291010100956,18.99,1,1
6291016118016,3.25,0,0
6291030003305,1.5,0,0
6291030003817,2.0,0,0
6291030003824,3.25,1,1
6291030100073,2.25,1,1
6291030109496,4.99,0,0
6291030200032,6.75,1,1
6291030201046,3.5,1,1
6291030300077,2.0,0,0
6291030400234,13.99,0,0
6291030500064,2.0,1,1
6291030501023,2.0,1,1
6291030502037,4.25,1,1
6291031000150,5.75,1,1
6291031000495,3.25,1,1
6291031000594,3.25,0,0
6291031002611,6.5,1,1
6291031004257,10.95,0,0
6291031010067,3.99,0,0
6291034005923,2.0,1,1
6291034005930,1.5,1,1
6291034005947,1.5,1,1
6291034005954,1.5,1,1
6291034140402,5.99,0,0
6291034140501,1.35,1,1
6291044111447,2.0,0,0
6291044112314,9.99,0,0
6291053791432,5.5,1,1
6291053901381,12.99,1,1
6291055002369,3.75,0,0
6291056001941,4.5,0,0
6291056011544,2.25,1,1
6291056041725,2.25,1,1
6291056043040,2.25,1,1
6291056052103,3.75,0,0
6291056067503,3.5,1,1
6291062100522,2.25,1,1
6291062100843,2.75,1,1
6291100002061,10.99,0,0
6291100800018,3.0,0,0
6291103079893,15.95,0,0
6291104140080,2.5,1,1
6291104141476,2.5,0,0
6291104152113,5.0,1,1
6291104156265,5.0,1,1
