barcode,sku,reason,start_date,end_date,campaign_status,discounted_price,max_no_of_orders,price,active
00000000176989,176989,,,,,,,5.25,1
00025407803108,25407803108,,,,,,,6.49,1
00025407806093,25407806093,,,,,,,6.49,1
00025929122206,25929122206,,,,,,,33.49,1
04005808816026,4005808816026,,,,,,,14.99,0
04005900542571,4005900542571,,,,,,,12.75,0
04056800867882,4056800867882,,,,,,,14.99,0
04792099011178,4792099011178,,,,,,,5.75,0
00614514060056,614514060056,,,,,,,11.49,0
00617950156000,617950156000,,,,,,,4.49,1
00617950200437,617950200437,,,,,,,6.99,1
00617950200628,617950200628,,,,,,,5.25,1
00617950600220,617950600220,,,,,,,11.49,1
00617950701460,617950701460,,,,,,,8.25,1
06223000191347,6223000191347,,,,,,,4.75,1
06281006423404,6281006423404,,,,,,,17.25,0
06281006438668,6281006438668,,,,,,,20.25,0
06281006451582,6281006451582,,,,,,,14.99,0
06281006524040,6281006524040,,,,,,,14.99,1
06281006529830,6281006529830,,,,,,,14.99,1
06281007029612,6281007029612,,,,,,,7.99,0
06281007032254,6281007032254,,,,,,,2.75,1
06281007036023,6281007036023,,,,,,,4.25,0
06281007037150,6281007037150,,,,,,,9.99,0
06281007050173,6281007050173,,,,,,,4.49,1
06281100084037,6281100084037,,,,,,,2.49,0
06281100084051,6281100084051,,,,,,,2.49,0
06281100086116,6281100086116,,,,,,,2.49,0
06281100086123,6281100086123,,,,,,,2.49,1
06281123034293,6281123034293,,,,,,,2.99,0
06281183000108,6281183000108,,,,,,,2.49,0
06290655788093,6290655788093,,,,,,,6.49,1
06291003058165,6291003058165,,,,,,,20.75,0
06291003077388,6291003077388,,,,,,,16.25,0
06291007901429,6291007901429,,,,,,,12.75,0
06291010200632,6291010200632,,,,,,,8.75,0
06291016005620,6291016005620,,,,,,,9.25,1
06291030003442,6291030003442,,,,,,,2.25,0
06291030400166,6291030400166,,,,,,,1.75,1
06291030500064,6291030500064,,,,,,,2.49,0
06291030503034,6291030503034,,,,,,,2.75,0
06291030930045,6291030930045,,,,,,,2.75,0
06291031000198,6291031000198,,,,,,,21.99,0
06291031004479,6291031004479,,,,,,,13.99,1
06291031004509,6291031004509,,,,,,,13.99,1
06291031020042,6291031020042,,,,,,,1.49,0
06291044110365,6291044110365,,,,,,,1.75,1
06291044170253,6291044170253,,,,,,,7.49,1
06291056000753,6291056000753,,,,,,,2.49,0
06291056002139,6291056002139,,,,,,,4.75,1
06291056004034,6291056004034,,,,,,,25.99,0
06291056041725,6291056041725,,,,,,,2.75,1
06291079250326,6291079250326,,,,,,,12.75,1
06291079362784,6291079362784,,,,,,,14.99,1
06291079368403,6291079368403,,,,,,,6.49,1
06291079368526,6291079368526,,,,,,,6.49,1
06291079368533,6291079368533,,,,,,,6.49,1
06291079368595,6291079368595,,,,,,,6.49,1
06291101131241,6291101131241,,,,,,,22.99,0
06291103750044,6291103750044,,,,,,,8.25,1
06291103750075,6291103750075,,,,,,,8.25,1
06291103750167,6291103750167,,,,,,,9.25,1
06291103750266,6291103750266,,,,,,,8.75,1
06291104183568,6291104183568,,,,,,,6.49,1
06291104183575,6291104183575,,,,,,,7.99,1
06291105208222,6291105208222,,,,,,,2.49,0
06291106450095,6291106450095,,,,,,,3.49,0
06291107830223,6291107830223,,,,,,,4.25,0
06291107830933,6291107830933,,,,,,,6.99,0
06291107831619,6291107831619,,,,,,,2.49,0
06294001520795,6294001520795,,,,,,,3.49,0
06294001521334,6294001521334,,,,,,,4.25,0
06294001533153,6294001533153,,,,,,,5.25,0
06294008699197,6294008699197,,,,,,,8.75,1
06294010808402,6294010808402,,,,,,,126.75,1
06294015505979,6294015505979,,,,,,,90.99,1
06296023175830,6296023175830,,,,,,,17.25,0
06297000071077,6297000071077,,,,,,,6.99,1
06297000611372,6297000611372,,,,,,,6.99,0
06330848654542,6330848654542,,,,,,,27.75,0
00645469045614,645469045614,,,,,,,5.75,0
06638857648818,6638857648818,,,,,,,17.25,0
00716524961214,716524961214,,,,,,,51.75,0
00752590071044,752590071044,,,,,,,36.99,0
07622210369864,7622210369864,,,,,,,25.49,1
07622210369901,7622210369901,,,,,,,25.49,1
07893000457485,7893000457485,,,,,,,16.25,1
07893000461246,7893000461246,,,,,,,6.99,1
07894904052660,7894904052660,,,,,,,13.99,1
07894904052684,7894904052684,,,,,,,16.25,1
07898506320417,7898506320417,,,,,,,4.75,1
08716200615273,8716200615273,,,,,,,4.25,0
08717278894744,8717278894744,,,,,,,78.25,1
08801038601014,8801038601014,,,,,,,4.25,1
08888202003829,8888202003829,,,,,,,18.49,0
08901030740466,8901030740466,,,,,,,16.25,1
08901138506384,8901138506384,,,,,,,9.25,0
08901440002147,8901440002147,,,,,,,6.99,0
08901444087218,8901444087218,,,,,,,9.25,1
08901444087225,8901444087225,,,,,,,4.75,1
08901444087324,8901444087324,,,,,,,6.49,1
08901747000686,8901747000686,,,,,,,12.75,1
08902850024682,8902850024682,,,,,,,8.25,0
08903856666814,8903856666814,,,,,,,27.49,1
08904010696159,8904010696159,,,,,,,9.25,0
08904018300591,8904018300591,,,,,,,4.75,0
08904063200464,8904063200464,,,,,,,5.75,1
08904063200501,8904063200501,,,,,,,6.49,0
08906007250634,8906007250634,,,,,,,12.75,1
08906013030862,8906013030862,,,,,,,18.99,0
08906020580138,8906020580138,,,,,,,6.99,1
08906031410172,8906031410172,,,,,,,12.25,1
08908001361033,8908001361033,,,,,,,27.75,1
08961102430619,8961102430619,,,,,,,12.75,0
08992696420557,8992696420557,,,,,,,1.25,1
08992696427587,8992696427587,,,,,,,17.25,1
09415007015758,9415007015758,,,,,,,19.75,0
,9900051,,,,,,,33.99,1
,9900131500,,,,,,,3.75,1
,9900135500,,,,,,,2.99,1
,9900145500,,,,,,,2.99,1
,9900165250,,,,,,,2.75,1
,9900214,,,,,,,9.49,1
,9900252,,,,,,,10.75,1
,9900278,,,,,,,4.75,0
,9900293250,,,,,,,1.49,1
,9900305500,,,,,,,7.25,1
,9900309500,,,,,,,12.49,0
,9900310,,,,,,,14.25,0
,9900313500,,,,,,,19.49,1
,9900321500,,,,,,,10.75,1
,9900325500,,,,,,,13.49,0
,9900327500,,,,,,,11.25,0
,9900328500,,,,,,,12.99,1
,9900332500,,,,,,,20.49,1
,9900336500,,,,,,,12.99,0
,9900337,,,,,,,29.25,0
,9900339,,,,,,,35.25,0
,9900340500,,,,,,,8.25,1
,9900341500,,,,,,,14.25,1
,9900342500,,,,,,,11.75,1
,9900345500,,,,,,,5.99,0
,9900348,,,,,,,21.25,1
,9900350500,,,,,,,8.25,1
,9900353500,,,,,,,9.49,1
,9900354500,,,,,,,9.99,1
,9900355500,,,,,,,7.75,1
,9900357,,,,,,,9.49,1
,9900391,,,,,,,31.75,0
,9900410,,,,,,,15.25,1
,9900432,,,,,,,19.99,0
,9900439500,,,,,,,19.99,0
,9900484500,,,,,,,8.99,1
,9900652500,,,,,,,4.49,1
,9900786250,,,,,,,6.75,1
,9900917,,,,,,,42.25,0
,9901162250,,,,,,,3.25,1
,9901352500,,,,,,,19.49,0
,9902038500,,,,,,,13.25,1
,9902043,,,,,,,3.25,1
