sku,selling_price,stock_status,availability_status
100000102,1.75,1,1
10000181610,14.99,1,1
1000019656,28.95,0,0
1000031506,8.5,1,1
100010114,3.95,0,0
100028838,4.0,0,0
1000630253,14.95,0,0
12000048616,14.99,0,0
14285000068,4.0,1,1
2001000753116,4.75,0,0
2001000766505,11.5,1,1
2001000898060,9.45,1,1
2001000960293,18.5,1,1
2001000977963,34.0,0,0
2001001087852,5.95,1,1
22012585,12.95,0,0
3073781025194,26.5,0,0
3080216042022,2.5,1,1
4005900036162,11.5,1,1
4084500895003,22.95,1,1
4292656600000,6.5,1,1
4292680110001,8.75,1,1
4791034005111,2.5,1,1
4791034012041,3.5,1,1
4792020101053,3.0,1,1
4796003680061,7.5,1,1
4796003680108,10.5,1,1
4796003680382,4.75,1,1
4796003680498,4.5,1,1
4796003680917,12.99,1,1
4987205000010,9.99,0,0
5015911101673,17.5,0,0
5285000390589,7.5,1,1
5449000062611,1.25,1,1
5449000084071,1.5,0,0
5449000138835,6.95,1,1
5461166321975,3.5,0,0
5711953001406,32.0,1,1
5740900400887,17.5,1,1
5740900400924,29.95,1,1
6001106100445,3.5,0,0
6001106204655,17.95,1,1
6085010010601,30.45,0,0
6221134005103,59.0,1,1
6221155159250,8.95,0,0
6260273700982,10.5,1,1
6281006524040,15.0,1,1
6281006577954,23.99,0,0
6281006605763,11.99,1,1
6281006861862,12.5,0,0
6281007023115,1.95,0,0
6281007032254,2.25,0,0
6281007050173,3.75,0,0
6281007053723,2.25,1,1
6281007055284,2.25,0,0
6281007055321,2.25,1,1
6281007070720,12.5,0,0
6281007070751,12.5,1,1
6281007129251,22.5,0,0
6281007167826,10.95,0,0
6281123032701,1.25,0,0
6290360351063,11.5,1,1
6291001000913,1.0,1,1
6291001060597,7.0,1,1
6291003049316,5.5,0,0
6291003096440,35.5,0,0
6291003096563,35.95,0,0
6291003163074,5.75,0,0
6291003303760,23.0,0,0
6291003304835,12.95,0,0
6291010700972,6.0,0,0
6291021213119,5.5,0,0
6291021919271,14.99,1,1
6291023160732,2.5,0,0
6291030004586,12.5,0,0
6291030004678,7.99,1,1
6291030203040,3.75,0,0
6291031000174,2.0,0,0
6291031001799,2.0,1,1
6291031002673,4.0,0,0
6291031020059,3.25,1,1
6291034000324,2.5,1,1
6291055258582,11.95,0,0
6291056001002,12.5,0,0
6291056001828,2.0,1,1
6291056004027,6.75,0,0
6291056004034,22.5,0,0
6291056030507,7.5,1,1
6291056031009,12.99,1,1
6291056041527,2.25,0,0
6291056067527,1.5,0,0
6291056180318,1.0,1,1
6291058139857,34.5,0,0
6291062100119,2.75,0,0
6291069701746,7.5,1,1
6291079251132,9.5,0,0
6291100800018,3.0,0,0
6291101715205,10.99,0,0
6291104152496,31.5,0,0
6291104181496,29.5,0,0
6291104183605,6.95,0,0
6291104192089,3.25,0,0
6291104194502,10.5,0,0
6291105002455,4.75,0,0
6291105002837,5.75,0,0
6291105002905,3.95,0,0
6291105201773,2.0,0,0
6291105812436,10.99,1,1
6291106110418,3.0,1,1
6291107830025,2.95,0,0
6291107835488,2.95,0,0
6291107835495,2.95,0,0
6291107835815,2.95,0,0
6294001814139,27.95,1,1
6295150000480,32.95,1,1
6297000044033,23.95,1,1
6297000044156,5.95,1,1
6297000044798,12.5,0,0
6297000082769,22.0,1,1
6297000611044,6.95,1,1
6297000611174,1.0,1,1
6297000611198,12.0,1,1
6297001478493,8.95,0,0
641995005023,4.25,0,0
645469045164,3.75,1,1
645469047199,18.95,1,1
645469050151,8.0,1,1
645469052674,7.5,1,1
645469055842,8.0,1,1
645469061294,9.95,1,1
645469061317,11.0,1,1
645469061324,9.95,1,1
663234011169,8.0,0,0
6666666618580,12.0,1,1
6666666683410,9.95,0,0
669568144160,2.0,0,0
6912540238239,7.5,1,1
6932018610114,3.0,0,0
6971764151922,12.0,0,0
745110986508,12.0,0,0
76162879,2.5,1,1
76162961,2.5,1,1
76162978,2.5,1,1
796648107156,0.25,1,1
8000500047873,75.0,0,0
8001841174204,14.5,0,0
8001841591070,8.0,0,0
8001841591162,8.5,0,0
8001841591377,7.95,1,1
80050278,5.5,1,1
831730005696,4.5,0,0
8690946370101,3.5,0,0
8691216019812,27.0,0,0
8700216245845,23.95,1,1
8718951291010,5.0,1,1
8886001026056,3.5,1,1
8886001038028,29.95,1,1
8888077101125,4.75,1,1
8888077102085,42.0,1,1
8888077102672,4.75,1,1
8888077108278,34.0,1,1
8888115000229,2.5,1,1
8901023001208,4.0,1,1
8901030541896,10.95,0,0
8901088108188,10.0,0,0
8901138823320,14.99,0,0
8901393017076,4.0,0,0
8901427000319,1.5,0,0
8901725001827,12.5,1,1
8901725001896,11.0,1,1
8901725005047,9.95,1,1
8901725107659,2.5,1,1
8901725112653,3.25,1,1
8901725132934,3.25,1,1
8902850009252,5.95,0,0
8902850036630,5.95,1,1
8902850036661,5.95,1,1
8904011510218,25.95,1,1
8904018300362,13.5,0,0
8904045813064,4.75,0,0
8904045813088,4.75,0,0
8904158504002,10.0,0,0
8906000210048,22.95,1,1
8906001210139,5.0,1,1
8906014081276,8.5,0,0
8906020580145,5.5,1,1
8906020589100,15.0,1,1
8906044650084,32.95,1,1
8906097370007,52.0,0,0
8906125310555,13.5,1,1
8992222300162,9.95,0,0
8992741904315,1.75,1,1
8996001301302,18.5,1,1
8996001301715,2.0,1,1
8996001370223,55.0,1,1
9100300881130,20.0,1,1
9100300881284,10.5,1,1
9556001129635,9.95,0,0
9556001130136,2.25,0,0
9556191011161,6.99,1,1
9556191011185,3.95,1,1
9556191012588,9.5,1,1
9788087049099,13.5,1,1
9900172250,4.0,0,0
9900244250,6.49,1,1
9900269,7.95,1,1
9900270,6.95,1,1
9900272,4.99,1,1
9900279,10.99,0,0
9900284,6.95,0,0
9900290500,3.48,0,0
9900301,21.95,1,1
9900302500,12.48,0,0
9900304500,5.98,0,0
9900306,23.95,0,0
9900307500,5.98,0,0
9900309500,10.98,0,0
9900310,27.95,0,0
9900311500,16.48,0,0
9900313500,21.98,1,1
9900319500,19.48,0,0
9900322500,7.98,0,0
9900330500,5.0,0,0
9900336500,13.98,0,0
9900337,39.95,1,1
9900339,36.5,0,0
9900340500,9.48,0,0
9900341500,12.48,1,1
9900342500,12.98,0,0
9900347500,5.98,0,0
9900348,15.95,0,0
9900353500,13.98,1,1
9900354500,9.48,0,0
9900357,8.95,0,0
9900388500,30.98,0,0
9900406,8.5,0,0
9900409,8.5,0,0
9900410,12.5,1,1
9900432,14.95,0,0
9900470,17.95,0,0
9900473,39.95,0,0
9900721,15.0,0,0
9900892,7.95,0,0
9901889,5.95,1,1
9902038500,11.98,1,1
9902748,6.99,0,0
