sku,selling_price,stock_status,availability_status
100015501,8.5,1,1
12000022890,3.5,0,0
2001000753468,9.95,0,0
2001000993642,16.5,0,0
4800888601100,4.5,0,0
4806521793362,3.99,0,0
4808680021430,11.0,0,0
5014328069675,14.5,1,1
5014328076338,14.99,1,1
5900020025098,3.5,0,0
6281007036849,7.5,0,0
6281007040129,3.5,0,0
6281007040419,6.99,0,0
6281007044080,17.5,0,0
6281007129251,21.99,0,0
6281036014054,3.0,0,0
6281065020620,17.99,1,1
6281065519001,10.99,1,1
6281065519025,16.99,1,1
6281100084051,2.25,0,0
6291003095528,2.25,1,1
6291003096266,16.5,1,1
6291003096273,16.5,1,1
6291003096365,21.5,1,1
6291003096419,21.0,1,1
6291003098499,4.99,1,1
6291003098635,2.25,1,1
6291003099069,10.0,1,1
6291003100536,3.0,1,1
6291003102035,13.99,1,1
6291003102059,13.99,1,1
6291003600487,3.5,1,1
6291003601804,2.99,0,0
6291003602931,3.5,1,1
6291003602962,13.99,1,1
6291007701043,6.0,0,0
6291016005644,1.5,1,1
6291016118023,4.0,1,1
6291016118030,3.25,1,1
6291016223222,13.99,0,0
6291021210712,1.0,0,0
6291030003244,4.5,0,0
6291030003466,2.0,0,0
6291030003817,2.25,0,0
6291030108062,2.25,0,0
6291030109175,2.25,0,0
6291030200049,3.5,0,0
6291030200070,21.5,1,1
6291030202043,3.75,0,0
6291030400098,7.5,1,1
6291030500064,2.0,1,1
6291030501023,2.0,0,0
6291030503034,2.25,1,1
6291031000136,10.99,0,0
6291031020202,1.75,1,1
6291044100199,3.25,0,0
6291044110228,3.5,1,1
6291044110365,1.5,1,1
6291044111553,3.5,1,1
6291044170253,7.0,1,1
6291056001415,4.99,1,1
6291056002283,2.25,0,0
6291056003587,5.99,0,0
6291056004010,2.25,1,1
6291056004027,7.0,1,1
6291056004034,22.0,0,0
6291056067534,7.5,0,0
6291056400577,23.99,0,0
6291056400591,25.99,1,1
6291104140011,1.5,0,0
6291104140059,2.0,0,0
6291104140080,2.0,0,0
6291104140301,1.75,0,0
6291104150119,15.5,1,1
6291104150911,24.95,1,1
6291104150928,52.5,1,1
6291104152328,5.0,0,0
6291104152489,13.99,1,1
6291104155602,8.5,0,0
6291104183636,6.0,0,0
6291104191068,7.99,1,1
6291104191877,3.0,0,0
6291104191990,4.95,1,1
6291104192317,8.99,1,1
6291104194267,4.0,1,1
6291104196476,4.5,1,1
6291105650113,13.0,1,1
6291105650151,10.0,1,1
6291105650168,17.95,1,1
6291105650380,9.0,1,1
6291106110241,3.0,0,0
6291106110418,3.0,0,0
6291106450149,4.25,0,0
6291106459876,4.5,0,0
6294004521553,6.5,1,1
6297000071121,4.5,0,0
6297000071145,4.99,0,0
6297000080284,18.5,0,0
6297000082950,15.99,0,0
6298044111170,29.95,0,0
6419950081863,2.75,0,0
748485100135,4.95,0,0
748485700083,4.5,0,0
7534518101506,1.75,0,0
764460032826,4.75,0,0
7702018949946,9.0,0,0
80761761,3.5,0,0
8683130045718,12.99,0,0
8714555000041,12.75,0,0
8801055707874,36.95,0,0
8801062140152,2.0,1,1
8801062267675,5.0,1,1
8801062267699,5.0,1,1
8801062636358,4.75,1,1
8801073114814,5.99,0,0
8901444060150,7.5,0,0
8901444087256,3.95,1,1
8901444087355,7.0,1,1
8901444087409,5.5,1,1
8901444087416,9.5,1,1
8901719900747,13.0,0,0
8902850000020,10.5,0,0
8904045812869,4.75,0,0
8904063200051,5.5,1,1
8904063200105,6.5,1,1
8904063200136,5.5,1,1
8904063200181,5.75,1,1
8904063200464,4.99,1,1
8904063200594,5.99,1,1
8904063210012,20.99,0,0
8906020589285,2.99,0,0
8908001158954,12.0,0,0
8908001361033,25.95,1,1
8964000682289,4.0,0,0
9310050113669,12.5,1,1
9900066500,8.98,1,1
9900135500,3.48,1,1
9900146500,4.48,1,1
9900185500,3.48,0,0
9900197500,9.48,0,0
9900225500,2.22,1,1
9900229,3.95,1,1
9900244250,6.24,1,1
9900262,6.99,1,1
9900269,8.95,1,1
9900270,7.95,1,1
9900282,13.95,1,1
9900290500,3.98,0,0
9900309500,9.0,1,1
9900310,27.99,0,0
9900313500,20.0,1,1
9900318500,9.0,1,1
9900319500,21.0,1,1
9900322500,7.5,0,0
9900328500,11.0,1,1
9900332500,19.95,1,1
9900345500,6.0,0,0
9900348,14.99,0,0
9900352500,18.0,1,1
9900354500,9.0,0,0
9900360500,7.5,1,1
9900469500,19.0,1,1
9900473,39.99,1,1
9900735,16.99,1,1
9900804500,4.48,1,1
9900806250,3.75,0,0
9900843,10.95,1,1
9901273,8.95,1,1
9902001500,4.48,1,1
9902028250,4.75,1,1
9902055,3.99,1,1
9902407,5.99,1,1
