barcode,sku,reason,start_date,end_date,campaign_status,discounted_price,max_no_of_orders,price,active
00012000022890,12000022890,,,,,,,4.25,0
02001000753468,2001000753468,,,,,,,11.49,0
02001000993642,2001000993642,,,,,,,18.99,0
06281007036849,6281007036849,,,,,,,8.75,0
06281007040129,6281007040129,,,,,,,4.25,0
06281007040419,6281007040419,,,,,,,8.25,0
06281007044080,6281007044080,,,,,,,20.25,0
06281007129251,6281007129251,,,,,,,25.49,0
06281036014054,6281036014054,,,,,,,3.49,0
06281100084051,6281100084051,,,,,,,2.75,0
06291003601804,6291003601804,,,,,,,3.49,0
06291007701043,6291007701043,,,,,,,6.99,0
06291021210712,6291021210712,,,,,,,1.25,0
06291030003466,6291030003466,,,,,,,2.49,0
06291030003817,6291030003817,,,,,,,2.75,0
06291030108062,6291030108062,,,,,,,2.75,0
06291030109175,6291030109175,,,,,,,2.75,0
06291030200049,6291030200049,,,,,,,4.25,0
06291031000136,6291031000136,,,,,,,12.75,0
06291056001002,6291056001002,,,,,,,14.25,0
06291056002283,6291056002283,,,,,,,2.75,0
06291056002603,6291056002603,,,,,,,4.25,0
06291056004034,6291056004034,,,,,,,25.49,0
06291056067534,6291056067534,,,,,,,8.75,0
06291100800018,6291100800018,,,,,,,3.49,0
06291100800056,6291100800056,,,,,,,1.75,0
06291100800094,6291100800094,,,,,,,2.25,0
06291104140011,6291104140011,,,,,,,1.75,0
06291104140059,6291104140059,,,,,,,2.49,0
06291104140301,6291104140301,,,,,,,2.25,0
06291104152328,6291104152328,,,,,,,5.75,0
06291104155602,6291104155602,,,,,,,9.99,0
06291104183636,6291104183636,,,,,,,6.99,0
06291106110418,6291106110418,,,,,,,3.49,0
06291106450149,6291106450149,,,,,,,4.99,0
06291106459876,6291106459876,,,,,,,5.25,0
06297000071121,6297000071121,,,,,,,5.25,0
06297000071145,6297000071145,,,,,,,5.75,0
06297000080284,6297000080284,,,,,,,21.49,0
06297000082950,6297000082950,,,,,,,18.49,0
06297000404455,6297000404455,,,,,,,8.25,0
06298044111170,6298044111170,,,,,,,34.49,0
06419950081863,6419950081863,,,,,,,3.25,0
07534518101506,7534518101506,,,,,,,2.25,0
07702018949946,7702018949946,,,,,,,10.49,0
00000080761761,80761761,,,,,,,4.25,0
08714555000041,8714555000041,,,,,,,14.75,0
08801055707874,8801055707874,,,,,,,42.49,0
08901444060150,8901444060150,,,,,,,8.75,0
08901719900747,8901719900747,,,,,,,14.99,0
08902850000020,8902850000020,,,,,,,12.25,0
08904045812869,8904045812869,,,,,,,5.49,0
08906020589285,8906020589285,,,,,,,3.49,0
08908001158954,8908001158954,,,,,,,13.99,0
,9900118250,,,,,,,3.99,1
,9900135500,,,,,,,4.25,1
,9900146500,,,,,,,5.25,1
,9900197500,,,,,,,11.25,0
,9900225500,,,,,,,2.75,1
,9900229,,,,,,,4.75,1
,9900244250,,,,,,,7.49,1
,9900262,,,,,,,8.25,1
,9900270,,,,,,,9.49,1
,9900282,,,,,,,16.49,1
,9900290500,,,,,,,4.75,0
,9900309500,,,,,,,10.75,1
,9900310,,,,,,,32.75,0
,9900313500,,,,,,,23.49,1
,9900318500,,,,,,,10.75,1
,9900319500,,,,,,,24.75,1
,9900328500,,,,,,,12.99,1
,9900345500,,,,,,,7.25,0
,9900348,,,,,,,17.75,0
,9900354500,,,,,,,10.75,0
,9900409,,,,,,,9.49,0
,9900469500,,,,,,,22.25,1
,9900473,,,,,,,46.99,1
,9900806250,,,,,,,4.49,0
,9901185500,,,,,,,4.25,0
,9901352500,,,,,,,21.25,1
,9902001500,,,,,,,5.25,1
,9902055,,,,,,,4.75,1
