sku,selling_price,stock_status,availability_status
1000019376,6.99,0,0
10001056814,16.0,0,0
10004474312,11.5,1,1
100050823,7.0,0,0
2001000752454,6.0,0,0
2001000753239,13.95,1,1
3014260419707,19.99,0,0
3700082500685,8.5,1,1
4292680110100,13.0,0,0
4801958391105,2.5,0,0
4807770272202,8.99,0,0
4902806000276,5.99,0,0
5000101911316,3.49,0,0
5014697027962,9.99,0,0
5352101719813,6.95,0,0
5413149637924,8.99,0,0
5449000320025,5.0,1,1
5449000320032,5.0,1,1
6001087364690,8.99,0,0
603981835007,2.0,0,0
603981835014,2.25,0,0
6111070000174,3.75,0,0
6281006065079,16.3,0,0
6281006424562,15.5,1,1
6281006443617,23.0,0,0
6281006504677,15.0,0,0
6281006565609,7.99,1,1
6281007032278,4.99,1,1
6281007032407,18.0,1,1
6281007036849,7.25,1,1
6281007041584,3.5,0,0
6281007041980,3.25,1,1
6281007061032,3.25,0,0
6281007061667,2.5,1,1
6281007064163,2.25,0,0
6281007067577,1.25,0,0
6281034905743,14.99,0,0
6281073150104,19.0,0,0
6281100081029,5.5,1,1
6281100081036,5.25,1,1
6290360351063,10.99,1,1
6291001002146,6.5,0,0
6291002110024,5.5,0,0
6291003016684,9.99,0,0
6291003058165,18.5,0,0
6291003096310,15.99,0,0
6291012244160,7.5,0,0
6291023012970,32.99,1,1
6291030003817,2.25,0,0
6291030501016,3.75,0,0
6291030502037,4.49,0,0
6291034004001,4.99,1,1
6291034140242,1.0,1,1
6291034140471,2.99,1,1
6291044000505,2.75,1,1
6291044000512,4.5,1,1
6291044110419,7.25,0,0
6291053130088,3.5,0,0
6291056002016,3.99,1,1
6291069210101,4.99,0,0
6291069651089,10.99,1,1
6291100800025,3.0,0,0
6291100800049,2.0,0,0
6291100800094,1.5,0,0
6291104140172,3.5,1,1
6291105003179,2.5,0,0
6291107830025,3.99,1,1
6291107830032,18.99,1,1
6294000201053,36.99,0,0
6294009936536,4.99,0,0
6294010886554,99.0,1,1
6294012300201,2.0,0,0
6294015605143,42.0,1,1
6294017112755,14.99,0,0
6295055187163,7.95,1,1
6297000056746,12.5,1,1
6297000611372,7.5,0,0
6297000747781,14.5,0,0
6297000906126,2.75,1,1
6298044032789,26.99,1,1
631583101015,6.5,1,1
663234052292,5.75,0,0
745110986515,13.0,0,0
7702018531783,17.5,1,1
785018012091,8.99,0,0
788821009142,5.5,1,1
788821082091,8.0,0,0
7893000557949,12.99,0,0
840205704590,10.99,1,1
840205704606,12.0,1,1
840205704613,13.5,1,1
840205704620,15.0,1,1
840205712854,10.99,0,0
840205712861,15.99,0,0
840205713035,1.25,1,1
840205718122,8.99,0,0
840205718139,11.99,1,1
840205722570,1.99,1,1
841165102747,4.5,0,0
841165115570,2.5,1,1
841165129553,1.5,1,1
841165138814,1.75,1,1
8413531002153,21.99,0,0
8445290301949,42.0,0,0
846656005859,7.99,1,1
8695788040915,12.99,0,0
8700216311588,18.99,0,0
8850086191435,9.99,0,0
8858753742904,3.5,1,1
8901023025082,6.99,0,0
8901030081132,20.99,1,1
8901138505820,7.99,0,0
8901165200149,7.0,0,0
8901207091025,4.5,0,0
8901248801171,9.99,0,0
8901719123597,9.25,0,0
8902102194927,1.99,0,0
8902850014607,15.99,1,1
8902850020301,8.99,0,0
8902850022992,14.99,1,1
8906010503338,5.99,0,0
8906010505127,2.5,1,1
8906010505202,5.5,1,1
8906010505219,6.0,1,1
8906010505226,5.5,1,1
8906010505233,4.99,1,1
8906010505257,4.99,1,1
8906010505264,4.99,1,1
8906010505271,5.99,1,1
8906010505332,1.99,1,1
8906010505356,5.99,1,1
8906010505424,2.5,1,1
8906010505479,5.5,1,1
8906010505493,2.5,1,1
8906010505547,5.5,1,1
8906010505561,5.99,1,1
8906014765992,18.99,0,0
8906020580015,5.99,0,0
8906020589117,12.0,0,0
8906020589285,2.99,1,1
8906058389857,5.95,0,0
8961100001040,4.0,0,0
8991389403716,1.5,0,0
8993282907544,7.5,0,0
8994963002275,7.99,0,0
8997035600300,7.99,1,1
9501025109217,1.75,0,0
9900042250,10.0,1,1
9900123500,1.0,1,1
9900159250,2.5,1,1
9900180250,2.0,1,1
9900194500,3.75,0,0
9900307500,5.0,1,1
9900318500,7.0,0,0
9900321500,8.0,1,1
9900337,27.99,0,0
9900341500,5.0,1,1
9900342500,10.0,0,0
9900345500,4.0,0,0
9900347500,5.5,1,1
9900349500,5.0,0,0
9900354500,8.5,0,0
9900355500,6.5,1,1
9900357,6.99,0,0
9900360500,5.0,1,1
9900390500,4.5,0,0
9900404,7.99,1,1
9900406,7.99,1,1
9900439500,17.5,1,1
9900541500,24.5,1,1
9900613,4.0,1,1
9900722250,3.0,0,0
9900762250,6.75,1,1
9900770250,3.75,1,1
9900797,5.99,1,1
9900917,37.99,1,1
