barcode,sku,reason,start_date,end_date,campaign_status,discounted_price,max_no_of_orders,price,active
02001000752454,2001000752454,,,,,,,6.99,0
02001000753239,2001000753239,,,,,,,16.25,1
04801958391105,4801958391105,,,,,,,2.99,0
04807770272202,4807770272202,,,,,,,10.49,0
04902806000276,4902806000276,,,,,,,6.99,0
05000101911316,5000101911316,,,,,,,4.25,0
05413149637924,5413149637924,,,,,,,10.49,0
05449000320025,5449000320025,,,,,,,5.75,1
05449000320032,5449000320032,,,,,,,5.75,1
06001087364690,6001087364690,,,,,,,10.49,0
06111070000174,6111070000174,,,,,,,4.49,0
06281006424562,6281006424562,,,,,,,17.99,1
06281006443617,6281006443617,,,,,,,26.49,0
06281006565609,6281006565609,,,,,,,9.25,1
06281007032278,6281007032278,,,,,,,5.75,1
06281007032407,6281007032407,,,,,,,20.75,1
06281007036849,6281007036849,,,,,,,8.49,1
06281007041584,6281007041584,,,,,,,4.25,0
06281007041980,6281007041980,,,,,,,3.75,1
06281007061032,6281007061032,,,,,,,3.75,0
06281007061667,6281007061667,,,,,,,2.99,1
06281007064163,6281007064163,,,,,,,2.75,0
06281034905743,6281034905743,,,,,,,17.25,0
06281073150104,6281073150104,,,,,,,21.99,0
06281100081029,6281100081029,,,,,,,6.49,1
06281100081036,6281100081036,,,,,,,6.25,1
06290360351063,6290360351063,,,,,,,12.75,1
06291001002146,6291001002146,,,,,,,7.49,0
06291002110024,6291002110024,,,,,,,6.49,0
06291003058165,6291003058165,,,,,,,21.49,0
06291003096310,6291003096310,,,,,,,18.49,0
06291023012970,6291023012970,,,,,,,37.99,1
06291030003817,6291030003817,,,,,,,2.75,0
06291030501016,6291030501016,,,,,,,4.49,0
06291030502037,6291030502037,,,,,,,5.25,0
06291034004001,6291034004001,,,,,,,5.75,1
06291044000505,6291044000505,,,,,,,3.25,1
06291044000512,6291044000512,,,,,,,5.25,1
06291044110419,6291044110419,,,,,,,8.49,0
06291053130088,6291053130088,,,,,,,4.25,0
06291056002016,6291056002016,,,,,,,4.75,1
06291069210101,6291069210101,,,,,,,5.75,0
06291069651089,6291069651089,,,,,,,12.75,1
06291100800025,6291100800025,,,,,,,3.49,0
06291100800049,6291100800049,,,,,,,2.49,0
06291100800094,6291100800094,,,,,,,1.75,0
06291104140172,6291104140172,,,,,,,4.25,1
06291105003179,6291105003179,,,,,,,2.99,0
06291107830025,6291107830025,,,,,,,4.75,1
06291107830032,6291107830032,,,,,,,21.99,1
06294000201053,6294000201053,,,,,,,42.75,0
06294009936536,6294009936536,,,,,,,5.75,0
06294010886554,6294010886554,,,,,,,113.99,1
06294015605143,6294015605143,,,,,,,48.49,1
06294017112755,6294017112755,,,,,,,17.25,0
06295055187163,6295055187163,,,,,,,9.25,1
06297000056746,6297000056746,,,,,,,14.49,1
06297000611372,6297000611372,,,,,,,8.75,0
06298044032789,6298044032789,,,,,,,31.25,1
00631583101015,631583101015,,,,,,,7.49,1
07702018531783,7702018531783,,,,,,,20.25,1
00785018012091,785018012091,,,,,,,10.49,0
00788821009142,788821009142,,,,,,,6.49,1
00788821082091,788821082091,,,,,,,9.25,0
07893000557949,7893000557949,,,,,,,14.99,0
00840205704590,840205704590,,,,,,,12.75,1
00840205704613,840205704613,,,,,,,15.75,1
00840205704620,840205704620,,,,,,,17.25,1
00840205712854,840205712854,,,,,,,12.75,0
00840205712861,840205712861,,,,,,,18.49,0
00840205713035,840205713035,,,,,,,1.49,1
00840205718122,840205718122,,,,,,,10.49,0
00840205718139,840205718139,,,,,,,13.99,1
08413531002153,8413531002153,,,,,,,25.49,0
08445290301949,8445290301949,,,,,,,48.49,0
00846656005859,846656005859,,,,,,,9.25,1
08695788040915,8695788040915,,,,,,,14.99,0
08850086191435,8850086191435,,,,,,,11.49,0
08901030081132,8901030081132,,,,,,,24.25,1
08901138505820,8901138505820,,,,,,,9.25,0
08902102194927,8902102194927,,,,,,,2.49,0
08902850014607,8902850014607,,,,,,,18.49,1
08902850020301,8902850020301,,,,,,,10.49,0
08906010505202,8906010505202,,,,,,,6.49,1
08906010505219,8906010505219,,,,,,,6.99,1
08906010505226,8906010505226,,,,,,,6.49,1
08906010505479,8906010505479,,,,,,,6.49,1
08906010505547,8906010505547,,,,,,,6.49,1
08906014765992,8906014765992,,,,,,,21.99,0
08906020580015,8906020580015,,,,,,,6.99,0
08906020589117,8906020589117,,,,,,,13.99,0
08906020589285,8906020589285,,,,,,,3.49,1
08906058389857,8906058389857,,,,,,,6.99,0
08991389403716,8991389403716,,,,,,,1.75,0
08997035600300,8997035600300,,,,,,,9.25,1
09501025109217,9501025109217,,,,,,,2.25,0
,9900123500,,,,,,,1.25,1
,9900159250,,,,,,,2.99,1
,9900180250,,,,,,,2.49,1
,9900194500,,,,,,,4.49,0
,9900318500,,,,,,,8.25,0
,9900321500,,,,,,,9.49,1
,9900337,,,,,,,32.75,0
,9900341500,,,,,,,5.99,1
,9900342500,,,,,,,11.75,0
,9900345500,,,,,,,4.75,0
,9900347500,,,,,,,6.49,1
,9900354500,,,,,,,9.99,0
,9900355500,,,,,,,7.75,1
,9900357,,,,,,,8.25,0
,9900360500,,,,,,,5.99,1
,9900390500,,,,,,,5.49,0
,9900404,,,,,,,9.49,1
,9900406,,,,,,,9.49,1
,9900439500,,,,,,,20.49,1
,9900541500,,,,,,,28.75,1
,9900613,,,,,,,4.75,1
,9900770250,,,,,,,4.49,1
,9900917,,,,,,,44.49,1
,9901349,,,,,,,11.75,0
