item_code,units,mrp,cost,stock
100009980.0,PCS,50.0,0.0,0.0
100073715.0,PCS,15.0,0.0,0.0
100073716.0,PCS,30.0,0.0,0.0
100009967.0,PCS,15.0,0.0,0.0
100009968.0,PCS,30.0,0.0,0.0
100009969.0,PCS,50.0,0.0,0.0
100009970.0,PCS,98.0,0.0,0.0
100064968.0,PCS,110.0,0.0,0.0
100062778.0,PCS,25.0,0.0,0.0
100066427.0,PCS,210.0,0.0,0.0
100064240.0,PCS,55.0,0.0,0.0
100063535.0,PCS,110.0,0.0,0.0
100063481.0,PCS,30.0,0.0,0.0
100063482.0,PCS,55.0,0.0,0.0
100076491.0,PCS,124.0,0.0,0.0
100146595.0,PCS,32.0,0.0,0.0
100154690.0,PCS,29.0,0.0,0.0
100164327.0,PCS,55.0,0.0,0.0
100010215.0,PCS,219.0,0.0,0.0
100035205.0,PCS,399.0,0.0,0.0
100049810.0,PCS,389.0,0.0,0.0
100049811.0,PCS,158.0,0.0,0.0
100050353.0,PCS,759.0,0.0,0.0
100054523.0,PCS,229.0,0.0,0.0
100054524.0,PCS,389.0,0.0,0.0
100056443.0,PCS,729.0,0.0,0.0
100064210.0,PCS,245.0,0.0,2.0
100066859.0,PCS,145.0,0.0,0.0
100066860.0,PCS,162.0,0.0,0.0
100069770.0,PCS,145.0,0.0,0.0
100071071.0,PCS,189.0,0.0,2.0
100076365.0,PCS,225.0,0.0,0.0
100076503.0,PCS,349.0,0.0,0.0
100076548.0,PCS,139.0,0.0,0.0
100076549.0,PCS,199.0,0.0,0.0
100077303.0,PCS,169.0,0.0,1.0
100083643.0,PCS,99.0,0.0,6.0
100083951.0,PCS,325.0,0.0,0.0
100083952.0,PCS,339.0,0.0,0.0
100083953.0,PCS,169.0,0.0,0.0
100083954.0,PCS,419.0,0.0,0.0
100083955.0,PCS,175.0,0.0,0.0
100083956.0,PCS,259.0,0.0,0.0
100083957.0,PCS,129.0,0.0,0.0
100087559.0,PCS,225.0,0.0,0.0
100087560.0,PCS,125.0,0.0,0.0
100087561.0,PCS,175.0,0.0,0.0
100087941.0,PCS,159.0,0.0,0.0
100087942.0,PCS,225.0,0.0,0.0
100089102.0,PCS,78.0,0.0,0.0
100090824.0,PCS,299.0,0.0,0.0
100091614.0,PCS,49.0,0.0,0.0
100091628.0,PCS,36.0,0.0,0.0
100091630.0,PCS,32.0,0.0,0.0
100092922.0,PCS,500.0,0.0,0.0
100095819.0,PCS,239.0,0.0,0.0
100097125.0,PCS,229.0,0.0,0.0
100097126.0,PCS,89.0,0.0,0.0
100097127.0,PCS,119.0,0.0,0.0
100099826.0,PCS,265.0,0.0,0.0
100099827.0,PCS,275.0,0.0,0.0
100100815.0,PCS,239.0,0.0,2.0
100100817.0,PCS,79.0,0.0,0.0
100101685.0,PCS,169.0,0.0,0.0
100101926.0,PCS,215.0,0.0,0.0
100101945.0,PCS,110.0,0.0,0.0
100102630.0,PCS,525.0,0.0,0.0
100102941.0,PCS,269.0,0.0,0.0
100102942.0,PCS,225.0,0.0,0.0
100102964.0,PCS,119.0,0.0,0.0
100103330.0,PCS,349.0,0.0,0.0
100103828.0,PCS,74.0,0.0,0.0
100103829.0,PCS,199.0,0.0,0.0
100103852.0,PCS,139.0,0.0,0.0
100104282.0,PCS,219.0,0.0,0.0
100104283.0,PCS,279.0,0.0,0.0
100104284.0,PCS,129.0,0.0,0.0
100104285.0,PCS,119.0,0.0,0.0
100104286.0,PCS,69.0,0.0,0.0
100104287.0,PCS,65.0,0.0,0.0
100104288.0,PCS,179.0,0.0,0.0
100104290.0,PCS,39.0,0.0,0.0
100105039.0,PCS,72.0,0.0,0.0
100105055.0,PCS,65.0,0.0,3.0
100105056.0,PCS,75.6,0.0,0.0
100105057.0,PCS,55.0,0.0,0.0
100105058.0,PCS,39.0,0.0,0.0
100108871.0,PCS,319.0,0.0,0.0
100109382.0,PCS,249.0,0.0,0.0
100109383.0,PCS,150.0,0.0,0.0
100110844.0,PCS,389.0,0.0,0.0
100110845.0,PCS,289.0,0.0,0.0
100110858.0,PCS,269.0,0.0,0.0
100115664.0,PCS,359.0,0.0,0.0
100119267.0,PCS,999.0,0.0,0.0
100119324.0,PCS,299.0,0.0,0.0
100123440.0,PCS,385.0,0.0,1.0
100123441.0,PCS,419.0,0.0,0.0
100123442.0,PCS,189.0,0.0,0.0
100123443.0,PCS,159.0,0.0,0.0
100124421.0,PCS,429.0,0.0,0.0
100124422.0,PCS,189.0,0.0,0.0
100124423.0,PCS,479.0,0.0,0.0
100124424.0,PCS,599.0,0.0,0.0
100124621.0,PCS,139.0,0.0,0.0
100124664.0,PCS,99.0,0.0,3.0
100124665.0,PCS,85.0,0.0,0.0
100124720.0,PCS,200.0,0.0,0.0
100124721.0,PCS,100.0,0.0,0.0
100124722.0,PCS,99.0,0.0,0.0
100124723.0,PCS,145.0,0.0,0.0
100124724.0,PCS,229.0,0.0,0.0
100124750.0,PCS,39.0,0.0,0.0
100124751.0,PCS,49.0,0.0,0.0
100124822.0,PCS,174.0,0.0,0.0
100124826.0,PCS,580.0,0.0,0.0
100124853.0,PCS,89.0,0.0,0.0
100124978.0,PCS,15.0,0.0,0.0
100130224.0,PCS,39.0,0.0,0.0
100131558.0,PCS,259.0,0.0,1.0
100131560.0,PCS,349.0,0.0,1.0
100131562.0,PCS,299.0,0.0,0.0
100132344.0,PCS,99.0,0.0,0.0
100132345.0,PCS,129.0,0.0,0.0
100137410.0,PCS,445.0,0.0,1.0
100139578.0,PCS,260.0,0.0,0.0
100139759.0,PCS,16.0,0.0,0.0
100140100.0,PCS,42.0,0.0,0.0
100140101.0,PCS,29.0,0.0,0.0
100140300.0,PCS,249.0,0.0,0.0
100143926.0,PCS,32.0,0.0,0.0
100145474.0,PCS,115.0,0.0,1.0
100145482.0,PCS,85.0,0.0,0.0
100145485.0,PCS,129.0,0.0,0.0
100146792.0,PCS,29.0,0.0,0.0
100147264.0,PCS,119.0,0.0,0.0
100151758.0,PCS,59.0,0.0,0.0
100151759.0,PCS,32.0,0.0,0.0
100151760.0,PCS,39.0,0.0,0.0
100152337.0,PCS,99.0,0.0,0.0
100155564.0,PCS,420.0,0.0,0.0
100161425.0,PCS,49.0,0.0,0.0
100164199.0,PCS,505.0,0.0,0.0
100164595.0,PCS,12.0,0.0,0.0
100166420.0,PCS,379.0,0.0,2.0
100168365.0,PCS,39.0,0.0,0.0
100174896.0,PCS,45.0,0.0,0.0
100174897.0,PCS,80.0,0.0,0.0
100174900.0,PCS,49.0,0.0,0.0
100174943.0,PCS,499.0,0.0,1.0
100174944.0,PCS,420.0,0.0,0.0
100178624.0,PCS,999.0,0.0,0.0
100181518.0,PCS,1099.0,0.0,0.0
100181668.0,PCS,49.0,0.0,0.0
100182509.0,PCS,119.0,0.0,0.0
100184524.0,PCS,129.0,0.0,0.0
100184525.0,PCS,89.0,0.0,0.0
100189016.0,PCS,500.0,0.0,0.0
100189321.0,PCS,329.0,0.0,0.0
100206323.0,PCS,209.0,0.0,2.0
100206324.0,PCS,389.0,0.0,1.0
100207848.0,PCS,39.0,0.0,0.0
100207983.0,PCS,135.0,0.0,0.0
100208942.0,PCS,199.0,0.0,13.0
100118919.0,PCS,139.0,0.0,0.0
100127960.0,PCS,89.0,0.0,0.0
100130582.0,PCS,135.0,0.0,0.0
100130710.0,PCS,129.0,0.0,0.0
100152540.0,PCS,92.0,0.0,0.0
100164596.0,PCS,20.0,0.0,1.0
100165647.0,PCS,79.0,0.0,0.0
100171822.0,PCS,79.0,0.0,1.0
100174895.0,PCS,125.0,0.0,0.0
100178130.0,PCS,299.0,0.0,2.0
100178688.0,PCS,55.0,0.0,0.0
100178689.0,PCS,99.0,0.0,0.0
100178690.0,PCS,239.0,0.0,0.0
100182266.0,PCS,20.0,0.0,0.0
100182544.0,PCS,149.0,0.0,3.0
100182545.0,PCS,29.0,0.0,0.0
100187825.0,PCS,79.0,0.0,0.0
100187826.0,PCS,55.0,0.0,1.0
100187827.0,PCS,199.0,0.0,0.0
100203892.0,PCS,249.0,0.0,0.0
100001612.0,PCS,48.0,0.0,3.0
100063383.0,PCS,45.0,0.0,0.0
100084496.0,PCS,39.0,0.0,0.0
100098112.0,PCS,36.0,0.0,0.0
100101464.0,PCS,32.0,0.0,1.0
100109601.0,PCS,22.0,0.0,3.0
100110726.0,PCS,55.0,0.0,0.0
100116594.0,PCS,29.0,0.0,0.0
100118962.0,PCS,34.0,0.0,0.0
100118963.0,PCS,19.0,0.0,0.0
100120171.0,PCS,29.0,0.0,2.0
100128352.0,PCS,63.0,0.0,0.0
100139967.0,PCS,20.0,0.0,0.0
100147082.0,PCS,22.0,0.0,1.0
100151950.0,PCS,275.0,0.0,1.0
100161526.0,PCS,32.0,0.0,0.0
100189324.0,PCS,119.0,0.0,0.0
100189325.0,PCS,49.0,0.0,0.0
100003286.0,PCS,78.0,0.0,2.0
100026108.0,PCS,75.0,0.0,3.0
100034870.0,PCS,99.0,0.0,0.0
100054588.0,PCS,85.0,0.0,0.0
100080878.0,PCS,79.0,0.0,1.0
100080879.0,PCS,56.0,0.0,0.0
100103836.0,PCS,55.0,0.0,0.0
100106236.0,PCS,52.0,0.0,0.0
100111690.0,PCS,79.0,0.0,0.0
100112242.0,PCS,20.0,0.0,0.0
100119285.0,PCS,34.0,0.0,0.0
100119286.0,PCS,75.0,0.0,0.0
100119287.0,PCS,94.0,0.0,0.0
100119288.0,PCS,99.0,0.0,3.0
100122266.0,PCS,39.0,0.0,0.0
100124842.0,PCS,54.0,0.0,0.0
100124845.0,PCS,60.0,0.0,0.0
100124847.0,PCS,45.0,0.0,0.0
100148175.0,PCS,55.0,0.0,3.0
100157563.0,PCS,15.0,0.0,0.0
100161782.0,PCS,59.0,0.0,0.0
100161783.0,PCS,29.0,0.0,1.0
100161784.0,PCS,29.0,0.0,0.0
100164587.0,PCS,39.0,0.0,0.0
100166792.0,PCS,29.0,0.0,0.0
100184232.0,PCS,35.0,0.0,0.0
100193182.0,PCS,39.0,0.0,0.0
100206822.0,PCS,35.0,0.0,1.0
100164406.0,PCS,75.0,0.0,0.0
100164407.0,PCS,85.0,0.0,0.0
100164408.0,PCS,135.0,0.0,0.0
100164409.0,PCS,165.0,0.0,0.0
100164410.0,PCS,269.0,0.0,0.0
100164411.0,PCS,359.0,0.0,0.0
100168191.0,PCS,65.0,0.0,0.0
100171821.0,PCS,32.0,0.0,0.0
100171823.0,PCS,45.0,0.0,0.0
100172276.0,PCS,79.0,0.0,0.0
100172483.0,PCS,29.0,0.0,0.0
100174359.0,PCS,55.0,0.0,2.0
100174362.0,PCS,75.0,0.0,0.0
100178142.0,PCS,85.0,0.0,4.0
100178602.0,PCS,119.0,0.0,0.0
100179259.0,PCS,175.0,0.0,0.0
100180195.0,PCS,59.0,0.0,3.0
100180197.0,PCS,59.0,0.0,4.0
100181784.0,PCS,63.0,0.0,2.0
100182280.0,PCS,35.0,0.0,1.0
100182427.0,PCS,15.0,0.0,0.0
100186075.0,PCS,35.0,0.0,0.0
100186076.0,PCS,26.0,0.0,0.0
100186077.0,PCS,25.0,0.0,0.0
100187824.0,PCS,18.0,0.0,0.0
100188258.0,PCS,18.0,0.0,0.0
100188259.0,PCS,18.0,0.0,7.0
100188260.0,PCS,20.0,0.0,0.0
100190589.0,PCS,14.0,0.0,2.0
100191280.0,PCS,89.0,0.0,1.0
100191281.0,PCS,109.0,0.0,0.0
100191297.0,PCS,125.0,0.0,0.0
100191298.0,PCS,49.0,0.0,1.0
100193173.0,PCS,39.0,0.0,2.0
100193185.0,PCS,22.0,0.0,0.0
100194016.0,PCS,69.0,0.0,6.0
100196562.0,PCS,89.0,0.0,3.0
100196563.0,PCS,125.0,0.0,5.0
100201033.0,PCS,65.0,0.0,37.0
100204805.0,PCS,249.0,0.0,3.0
100206311.0,PCS,29.0,0.0,0.0
100206326.0,PCS,170.0,0.0,0.0
100206824.0,PCS,15.0,0.0,2.0
100207851.0,PCS,29.0,0.0,0.0
100208824.0,PCS,39.0,0.0,3.0
100209376.0,PCS,49.0,0.0,10.0
100209598.0,PCS,16.0,0.0,12.0
100210004.0,PCS,49.99,0.0,1.0
100210164.0,PCS,165.0,0.0,3.0
100210394.0,PCS,59.0,0.0,19.0
100118816.0,PCS,15.0,0.0,1.0
100002583.0,PCS,26.5,0.0,5.0
100002586.0,PCS,26.5,0.0,9.0
100002588.0,PCS,15.0,0.0,5.0
100002589.0,PCS,45.0,0.0,5.0
100002591.0,PCS,18.0,0.0,3.0
100002592.0,PCS,22.0,0.0,6.0
100002594.0,PCS,15.0,0.0,12.0
100002598.0,PCS,4.5,0.0,0.0
100002608.0,OUT,39.0,0.0,2.0
100002608.0,PCS,4.5,0.0,2.0
100002613.0,PCS,8.5,0.0,0.0
100002614.0,PCS,4.0,0.0,5.0
100007432.0,PCS,7.99,0.0,0.0
100010440.0,PCS,32.0,0.0,0.0
100015158.0,PCS,9.99,0.0,11.0
100015827.0,PKT,42.0,0.0,0.0
100016289.0,PCS,4.0,0.0,7.0
100016296.0,PCS,3.0,0.0,0.0
100016296.0,BOX,39.0,0.0,0.0
100016414.0,PCS,9.5,0.0,3.0
100016877.0,PCS,4.5,0.0,12.0
100017110.0,PCS,10.0,0.0,22.0
100017944.0,PCS,42.0,0.0,0.0
100019172.0,PCS,18.5,0.0,12.0
100019176.0,PCS,7.0,0.0,16.0
100019264.0,PCS,1.0,0.0,0.0
100019264.0,OUT,19.99,0.0,0.0
100019877.0,PCS,4.5,0.0,0.0
100020181.0,PCS,4.0,0.0,13.0
100025963.0,PCS,3.99,0.0,12.0
100028886.0,PCS,45.0,0.0,8.0
100029006.0,PCS,10.0,0.0,21.0
100037775.0,PCS,1.0,0.0,0.0
100037775.0,OUT,19.99,0.0,0.0
100042756.0,PCS,2.0,0.0,4.0
100042756.0,OUT,35.0,0.0,4.0
100043843.0,PCS,2.0,0.0,0.0
100043843.0,OUT,18.0,0.0,0.0
100054070.0,PCS,4.5,0.0,27.0
100054071.0,PCS,4.5,0.0,15.0
100084384.0,PCS,32.0,0.0,0.0
100086189.0,PCS,8.5,0.0,1.0
100086190.0,PCS,8.5,0.0,7.0
100088712.0,PCS,1.99,0.0,300.0
100088712.0,OUT,18.99,0.0,300.0
100090852.0,PCS,2.5,0.0,0.0
100090852.0,OUT,4.0,0.0,0.0
100092866.0,PCS,6.0,0.0,17.0
100092867.0,PCS,5.0,0.0,3.0
100093355.0,PCS,1.0,0.0,0.0
100093355.0,PKT,20.0,0.0,0.0
100096139.0,PCS,1.0,0.0,0.0
100096139.0,PKT,15.0,0.0,0.0
