item_code,name,units,mrp,cost,stock
100009980.0,Five Voip Card 50,PCS,50.0,0.0,0.0
100073715.0,Five Voip Card 15,PCS,15.0,0.0,22.0
100073716.0,Five Voip Card 30,PCS,30.0,0.0,9.0
100009967.0,Hello Card 15,PCS,15.0,0.0,24.0
100009968.0,Hello Card 30,PCS,30.0,0.0,0.0
100009969.0,Hello Card 50,PCS,50.0,0.0,0.0
100009970.0,Hello Card 100,PCS,100.0,0.0,0.0
100080413.0,Hello Card 10,PCS,10.0,0.0,0.0
100028501.0,Nol Card,PCS,26.0,0.0,16.0
100000005.0,Du Card 100,PCS,100.0,0.0,0.0
100000005.0,Du Card 100,PKT,105.0,0.0,0.0
100064968.0,Du Card 110,PCS,110.0,0.0,6.0
100000003.0,Du Card 20,PCS,20.0,0.0,0.0
100062778.0,Du Card 25,PCS,25.0,0.0,28.0
100001334.0,Du Card 200,PCS,200.0,0.0,0.0
100001334.0,Du Card 200,PKT,210.0,0.0,0.0
100066427.0,Du Card 210,PCS,210.0,0.0,0.0
100064240.0,Du Card 55,PCS,55.0,0.0,23.0
100001338.0,Etisalat Card 100,PKT,105.0,0.0,0.0
100063535.0,Etisalat Card 110,PCS,110.0,0.0,14.0
100001339.0,Etisalat Card 200,PCS,200.0,0.0,0.0
100001339.0,Etisalat Card 200,PKT,210.0,0.0,0.0
100067808.0,Etisalat Card 210,PCS,210.0,0.0,0.0
100063481.0,Etisalat Card 30,PCS,30.0,0.0,26.0
100063482.0,Etisalat Card 55,PCS,55.0,0.0,23.0
100001340.0,Etisalat Card 15,PCS,15.0,0.0,0.0
100001341.0,Etisalat Card 20,PCS,20.0,0.0,0.0
100009977.0,Booth Card 30,PCS,30.0,0.0,0.0
100026260.0,Geepas Dvd Player Gdvd2724,PCS,52.45,0.0,0.0
100026261.0,Geepas Dvd Player Gdvd2725,PCS,63.0,0.0,0.0
100026262.0,Geepas Dvd Player Gdvd2723,PCS,52.45,0.0,0.0
100017558.0,Geepas Home Theatre 2.1-Gms8439,PCS,252.0,0.0,0.0
100026259.0,Geepas Home Theater 2.1Ch Gms8477,PCS,313.95,0.0,0.0
100205910.0,Epsilon Bluetooth Speaker With Microphon,PCS,18.95,0.0,12.0
100026164.0,Mega Dynamic Microphone,PCS,10.5,0.0,0.0
100026177.0,Tunmic Clip Mic Microphone Htn501,PCS,31.5,0.0,0.0
100026066.0,Knstar Radio K9830/K9831,PCS,26.25,0.0,0.0
100026108.0,Geepas Band Radio Gr6836,PCS,68.25,0.0,0.0
100002583.0,Energizer Aaa 4Pcs Battery,PCS,23.0,0.0,0.0
100002585.0,Energizer Aaa 4Pcs Battery Advanced-2023,PCS,17.1,0.0,0.0
100002586.0,Energizer Aa 4Pcs Battery Max-2024,PCS,28.95,0.0,8.0
100002587.0,Energizer Aa 2Pcs Battery Alkaline-2016,PCS,8.4,0.0,0.0
100002588.0,Energizer Aa 2Pcs Battery Max,PCS,15.5,0.0,1.0
100002589.0,Energizer Aaa 12(8+4)Pcs Battery Max E92,PCS,47.0,0.0,4.0
100002591.0,Energizer 2Pcs Battery 1.5V C2,PCS,17.5,0.0,7.0
100002592.0,Energizer D 2Pcs Battery Max(Big Size),PCS,24.0,0.0,4.0
100002594.0,Energizer Aaa 2Pcs Battery Max,PCS,16.5,0.0,8.0
100002595.0,Energizer Aaa 2Pcs Battery Alkaline,PCS,7.95,0.0,11.0
100002598.0,Energizer Alkaline Battery-A23,PCS,5.0,0.0,10.0
100002599.0,Sony Alkaline 9V Battery Stamina Plus,PCS,9.45,0.0,0.0
100002600.0,Sony Aa 2Pcs Alkaline Battery,PCS,4.5,0.0,0.0
