item_code,units,mrp,cost,stock
100009980.0,PCS,50.0,0.0,0.0
100073715.0,PCS,15.0,0.0,22.0
100073716.0,PCS,30.0,0.0,9.0
100009967.0,PCS,15.0,0.0,24.0
100009968.0,PCS,30.0,0.0,0.0
100009969.0,PCS,50.0,0.0,0.0
100009970.0,PCS,100.0,0.0,0.0
100080413.0,PCS,10.0,0.0,0.0
100028501.0,PCS,26.0,0.0,16.0
100000005.0,PCS,100.0,0.0,0.0
100000005.0,PKT,105.0,0.0,0.0
100064968.0,PCS,110.0,0.0,6.0
100000003.0,PCS,20.0,0.0,0.0
100062778.0,PCS,25.0,0.0,28.0
100001334.0,PCS,200.0,0.0,0.0
100001334.0,PKT,210.0,0.0,0.0
100066427.0,PCS,210.0,0.0,0.0
100064240.0,PCS,55.0,0.0,23.0
100001338.0,PKT,105.0,0.0,0.0
100063535.0,PCS,110.0,0.0,14.0
100001339.0,PCS,200.0,0.0,0.0
100001339.0,PKT,210.0,0.0,0.0
100067808.0,PCS,210.0,0.0,0.0
100063481.0,PCS,30.0,0.0,26.0
100063482.0,PCS,55.0,0.0,23.0
100001340.0,PCS,15.0,0.0,0.0
100001341.0,PCS,20.0,0.0,0.0
100009977.0,PCS,30.0,0.0,0.0
100026260.0,PCS,52.45,0.0,0.0
100026261.0,PCS,63.0,0.0,0.0
100026262.0,PCS,52.45,0.0,0.0
100017558.0,PCS,252.0,0.0,0.0
100026259.0,PCS,313.95,0.0,0.0
100205910.0,PCS,18.95,0.0,12.0
100026164.0,PCS,10.5,0.0,0.0
100026177.0,PCS,31.5,0.0,0.0
100026066.0,PCS,26.25,0.0,0.0
100026108.0,PCS,68.25,0.0,0.0
100002583.0,PCS,23.0,0.0,0.0
100002585.0,PCS,17.1,0.0,0.0
100002586.0,PCS,28.95,0.0,8.0
100002587.0,PCS,8.4,0.0,0.0
100002588.0,PCS,15.5,0.0,1.0
100002589.0,PCS,47.0,0.0,4.0
100002591.0,PCS,17.5,0.0,7.0
100002592.0,PCS,24.0,0.0,4.0
100002594.0,PCS,16.5,0.0,8.0
100002595.0,PCS,7.95,0.0,11.0
100002598.0,PCS,5.0,0.0,10.0
100002599.0,PCS,9.45,0.0,0.0
100002600.0,PCS,4.5,0.0,0.0
